Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,72758,1006.59,0.056,32.44,32.54,305.017,46.84,19.624,50.43,1.69,6.5615,0.0652,43.49,16.8,73,39.25435,-76.7093,0.057,3.93,234
"Stauffer, Ryan M.",2,72759,1006.58,0.0561,32.5177,32.6177,305.0956,47.005,19.7522,50.498,1.6949,6.58072,0.0654,43.49,16.8,73,39.25435,-76.7093,0.058,4.0174,228.5631
"USRA, NASA/GSFC",3,72760,1006.52,0.0566,32.7276,32.8276,305.3106,47.0693,19.9646,50.5198,1.7009,6.60473,0.0656,43.49,16.8,73,39.25434,-76.7093,0.059,4.02,228.4
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,72761,1006.5,0.0568,32.7876,32.8876,305.3716,47.2524,20.0813,50.4336,1.8018,7.00348,0.0695,43.49,16.8,73,39.25436,-76.7094,0.0638,4.4233,223.8103
OWLETS-2,5,72762,1006.7,0.055,32.2722,32.3722,304.8405,47.7551,19.7836,49.8737,1.8421,7.16289,0.0712,43.5,16.8,72,39.25438,-76.7093,0.0701,4.4373,223.6074
"1,1",6,72763,1006.6,0.0559,32.0037,32.1037,304.5803,47.931,19.5984,50.3459,1.8106,7.03826,0.07,43.49,16.8,72,39.25438,-76.7093,0.0738,4.3447,223.1722
"2018, 06, 18, 2019, 02, 28",7,72764,1006.02,0.0611,31.9602,32.0602,304.5869,48.4446,19.7307,50.46,1.7936,6.97114,0.0693,43.49,16.8,72,39.25438,-76.7092,0.0771,4.3382,223.2274
1,8,72765,1005.58,0.0651,31.9694,32.0694,304.6351,48.6853,19.8186,50.46,1.7742,6.89429,0.0685,43.49,16.8,72,39.25436,-76.7092,0.0817,4.2456,227.3015
"Index_number, number",9,72766,1005.08,0.0696,31.8909,31.9909,304.6004,49.0657,19.8724,50.4995,1.772,6.88565,0.0685,43.49,16.8,72,39.25437,-76.7091,0.0879,4.24,227.55
20,10,72767,1004.61,0.0737,31.5347,31.6347,304.2851,49.1372,19.5705,50.4424,1.7653,6.8591,0.0683,43.49,16.8,72,39.25441,-76.7091,0.0918,4.1728,231.1411
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,72768,1004.05,0.0788,31.683,31.783,304.4812,49.2518,19.7435,50.4413,1.7679,6.86938,0.0684,43.49,16.8,72,39.25446,-76.7091,0.0971,4.2746,227.4504
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,72769,1003.58,0.0829,31.4423,31.5423,304.2812,49.6592,19.6564,50.4876,1.7642,6.85475,0.0683,43.49,16.8,72,39.2545,-76.709,0.1008,4.432,224.0152
"Seconds_UTC, s",13,72770,1003.1,0.0873,31.4009,31.5009,304.2817,50.3772,19.8495,50.5578,1.7611,6.84257,0.0682,43.49,16.8,72.96836,39.25454,-76.709,0.1039,4.6434,223.3268
"Pressure_hPa, hPa",14,72771,1002.64,0.0914,31.3407,31.4407,304.2602,50.7955,19.9272,50.4611,1.7818,6.92466,0.0691,43.51,16.8,73,39.25458,-76.7089,0.1089,4.65,223.31
"Altitude_km, km",15,72772,1002.4,0.0935,31.3254,31.4254,304.2663,50.8974,19.9455,50.5087,1.7864,6.94347,0.0693,43.53,16.8,72.51305,39.25462,-76.7089,0.1139,4.5526,225.7886
"Temp_degC, degC",16,72773,1002.16,0.0957,31.3106,31.4106,304.2727,50.9959,19.9633,50.5579,1.7908,6.96154,0.0695,43.56,16.8,72.02068,39.25466,-76.7088,0.1188,4.4541,228.2947
