Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,74101,1009.84,0.06,31.12,31.21,303.418,38.26,15.238,51.41,1.615,6.3551,0.0629,43.04,17.2,59,39.2542,-76.7092,0.055,0.06,270
"Sullivan, John T.",2,74102,1009.81,0.0603,30.9373,31.0273,303.2384,38.3618,15.1172,51.4405,1.619,6.37294,0.0631,43.11,17.2,59,39.2542,-76.7092,0.055,0.0573,265.917
NASA/GSFC,3,74103,1009.76,0.0607,31.0834,31.1734,303.3884,38.4028,15.2633,51.4484,1.6202,6.37867,0.0632,43.17,17.2,59,39.2542,-76.7092,0.055,0,180
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,74104,1009.74,0.0609,30.8795,30.9695,303.1866,38.4909,15.1179,51.4011,1.6261,6.40287,0.0634,43.18,17.2,59,39.2542,-76.7092,0.056,0,180
OWLETS-2,5,74105,1009.67,0.0615,30.85,30.94,303.163,38.5409,15.1123,51.4599,1.634,6.43462,0.0637,43.18,17.2,59,39.2542,-76.7092,0.056,0,180
"1,1",6,74106,1009.65,0.0617,30.8538,30.9438,303.1687,38.7572,15.2021,51.44,1.6352,6.43959,0.0638,43.18,17.2,59,39.2542,-76.7092,0.055,0.0028,184.9705
"2018, 06, 29, 2019, 02, 28",7,74107,1009.67,0.0615,31.1045,31.1945,303.4177,38.8933,15.4792,51.4404,1.6392,6.45547,0.0639,43.18,17.2,59,39.2542,-76.7092,0.055,0.05,270
1,8,74108,1009.61,0.062,31.4494,31.5394,303.7663,39.2075,15.9113,51.4497,1.6431,6.47156,0.0641,43.18,17.2,59,39.25421,-76.7092,0.055,0.0511,270
"Index_number, number",9,74109,1009.65,0.0617,31.7847,31.8747,304.0966,39.4712,16.3136,51.4399,1.6478,6.49045,0.0643,43.18,17.2,59,39.25421,-76.7092,0.055,0.09,270
20,10,74110,1009.75,0.0608,32.0822,32.1722,304.3856,39.5417,16.6059,51.4306,1.6368,6.44598,0.0638,43.18,17.2,59,39.25422,-76.7092,0.056,0.1285,273.8507
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,74111,1009.69,0.0613,31.7878,31.8778,304.0967,39.4086,16.2916,51.4427,1.6343,6.4357,0.0637,43.18,17.2,59,39.25421,-76.7092,0.056,0.74,335.08
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,74112,1009.71,0.0612,31.5287,31.6187,303.8368,39.3813,16.0514,51.4978,1.6401,6.45906,0.064,43.18,17.2,59,39.25421,-76.7092,0.056,0.746,334.807
