Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737240,1006.5,0.052,22.2,294.8,85.3,14.3,19.62,-0,-0,0,0,39.056,-76.876,2.61,25.9,0,20.62,32.3
"Sakai, Ricardo K.",2,737241,1005.6,0.06,22.3,294.98,85.6,14.46,19.78,1.15,-1.25,317.3,1.7,39.056,-76.876,2.66,26.5,0.02,20.97,32.3
Howard University - Beltsville,3,737242,1004.9,0.066,22.5,295.24,84.2,14.4,19.71,1.5,-1.61,317,2.2,39.056,-76.876,2.66,26.5,0.03,21.02,32.3
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737243,1004.2,0.072,22.9,295.7,82.2,14.42,19.72,1.71,-1.82,316.7,2.5,39.056,-76.876,2.67,26.6,0.05,21.05,32.3
OWLETS-II,5,737244,1003.5,0.078,23.3,296.15,80.3,14.44,19.73,1.93,-2.03,316.4,2.8,39.056,-76.876,2.67,26.6,0.06,21.08,32.3
"1,1",6,737245,1002.9,0.084,23.6,296.5,78.8,14.44,19.72,2.07,-2.17,316.3,3,39.056,-76.876,2.67,26.6,0.08,21.1,32.3
"2018, 06, 29, 2018, 08, 07",7,737246,1002.2,0.09,23.7,296.66,77.5,14.29,19.55,2.21,-2.31,316.3,3.2,39.056,-76.876,2.69,26.8,0.09,21.21,32.3
1,8,737247,1001.6,0.095,23.8,296.81,76.5,14.2,19.44,2.42,-2.53,316.3,3.5,39.056,-76.876,2.73,27.3,0.1,21.52,32.29
"Index_number, number",9,737248,1001,0.1,23.9,296.97,75.6,14.13,19.35,2.62,-2.75,316.4,3.8,39.056,-76.876,2.76,27.6,0.12,21.78,32.28
19,10,737249,1000.4,0.105,24,297.12,74.8,14.07,19.27,2.82,-2.98,316.6,4.1,39.056,-76.876,2.79,27.9,0.13,21.98,32.27
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737250,999.8,0.111,24,297.17,74.1,13.94,19.12,3.01,-3.21,316.8,4.4,39.056,-76.876,2.82,28.2,0.14,22.22,32.27
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,737251,999.2,0.116,24.1,297.32,73.4,13.9,19.07,3.21,-3.44,317,4.7,39.056,-76.876,2.84,28.4,0.16,22.41,32.27
"Seconds_UTC, s",13,737252,998.5,0.122,24.1,297.38,72.8,13.8,18.93,3.39,-3.67,317.3,5,39.056,-76.876,2.86,28.6,0.17,22.55,32.27
"Pressure_hPa, hPa",14,737253,997.9,0.128,24.2,297.53,72.1,13.75,18.88,3.57,-3.91,317.6,5.3,39.056,-76.876,2.89,29,0.19,22.78,32.27
"Altitude_km, km",15,737254,997.2,0.134,24.2,297.59,71.7,13.69,18.79,3.75,-4.16,317.9,5.6,39.056,-76.876,2.94,29.5,0.2,23.2,32.27
"Temp_degC, degC",16,737255,996.5,0.14,24.2,297.65,71.4,13.64,18.72,3.92,-4.41,318.3,5.9,39.056,-76.875,2.98,29.9,0.22,23.49,32.27
"Theta_K, K",17,737256,995.8,0.146,24.1,297.61,71.3,13.55,18.6,4.1,-4.65,318.6,6.2,39.056,-76.875,3.01,30.2,0.24,23.71,32.27
"RH_percent, percent",18,737257,995.1,0.153,24.1,297.67,71.1,13.52,18.56,4.26,-4.91,319,6.5,39.056,-76.875,3.05,30.7,0.25,24.03,32.27
