Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,70847,1012.08,0.056,33.35,33.46,305.448,50.28,21.601,33.07,1.637,6.2787,0.062,32.04,17.8,75,NaN,NaN,NaN,NaN,NaN
"Stauffer, Ryan M.",2,70848,1010.97,0.0659,33.7694,33.8794,305.9613,50.1574,21.9443,33.2769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"USRA, NASA/GSFC",3,70849,1010.45,0.0706,33.3803,33.4903,305.6183,49.8707,21.495,33.6231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,70850,1009.7,0.0773,33.7254,33.8354,306.0275,49.7745,21.7789,33.4898,1.64,6.29047,0.0623,32.04,17.8,75,NaN,NaN,NaN,NaN,NaN
OWLETS-2,5,70851,1009.31,0.0809,35.832,35.942,308.1624,50.0366,23.7903,33.447,1.6414,6.29635,0.0624,32.05,17.8,75,NaN,NaN,NaN,NaN,NaN
"1,1",6,70852,1009.75,0.0769,35.2614,35.3714,307.5549,49.9361,23.2355,33.4278,1.6448,6.31072,0.0625,32.11,17.8,75,NaN,NaN,NaN,NaN,NaN
"2018, 07, 02, 2019, 02, 28",7,70853,1009.42,0.0798,34.3941,34.5041,306.7181,49.7553,22.383,33.7232,1.6467,6.31893,0.0626,32.14,17.8,75,NaN,NaN,NaN,NaN,NaN
1,8,70854,1008.91,0.0845,34.419,34.529,306.7881,49.6541,22.3724,33.9205,1.6492,6.32866,0.0627,32.15,17.8,75,NaN,NaN,NaN,NaN,NaN
"Index_number, number",9,70855,1011.12,0.0645,34.6938,34.8038,306.8699,49.7744,22.6636,33.5097,1.6486,6.32617,0.0626,32.15,17.8,75,NaN,NaN,NaN,NaN,NaN
20,10,70856,1014.04,0.0382,35.162,35.272,307.084,49.815,23.1048,33.4598,1.6443,6.30932,0.0622,32.14,17.7251,75,NaN,NaN,NaN,NaN,NaN
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,70857,1015.67,0.0237,34.71,34.82,306.4942,49.6095,22.6243,33.5358,1.643,6.3044,0.062,32.14,17.7,75,NaN,NaN,NaN,2.0092,251.987
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,70858,1017.12,0.0106,33.9273,34.0373,305.5901,49.4568,21.8597,33.42,1.643,6.3044,0.062,32.14,17.7,75,NaN,NaN,NaN,1.2532,160.0165
"Seconds_UTC, s",13,70859,1018.24,0.0006,33.895,34.005,305.4618,49.3925,21.8084,33.5325,1.643,6.3044,0.0619,32.14,17.7,75,NaN,NaN,NaN,0.7634,160.6764
"Pressure_hPa, hPa",14,70860,1018.99,-0.0061,34.8147,34.9247,306.3123,49.4186,22.6561,33.4543,1.6438,6.30803,0.0619,32.17,17.7,75,NaN,NaN,NaN,0.4295,107.2745
