Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737241,1010.3,0.052,31,303.26,48.5,13.6,18.92,-0.95,1.87,153,2.1,39.056,-76.876,5.72,56.6,0,45.14,32.11
"Sakai, Ricardo K.",2,737242,1009.7,0.058,29.1,301.42,47.5,11.93,16.85,1.63,-0.49,286.8,1.7,39.056,-76.876,5.72,56.7,0.03,45.14,32.12
Howard University - Beltsville,3,737243,1009.1,0.064,29.1,301.47,46.9,11.78,16.66,2.33,-1.16,296.5,2.6,39.056,-76.876,5.72,56.7,0.06,45.14,32.13
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737244,1008.4,0.069,29.1,301.53,46.8,11.77,16.62,2.63,-1.45,298.9,3,39.056,-76.876,5.72,56.7,0.09,45.13,32.13
OWLETS-II,5,737245,1007.7,0.075,29.1,301.59,46.9,11.8,16.66,2.68,-1.55,300,3.1,39.056,-76.876,5.72,56.8,0.12,45.11,32.13
"1,1",6,737246,1007,0.082,29,301.55,46.8,11.72,16.53,2.75,-1.64,300.9,3.2,39.056,-76.876,5.7,56.6,0.15,44.99,32.14
"2018, 06, 29, 2018, 08, 07",7,737247,1006.2,0.089,28.9,301.52,46.7,11.63,16.41,2.8,-1.74,301.9,3.3,39.056,-76.875,5.69,56.5,0.18,44.88,32.15
1,8,737248,1005.4,0.096,28.8,301.49,46.7,11.57,16.32,2.85,-1.85,303,3.4,39.056,-76.875,5.68,56.5,0.22,44.85,32.15
"Index_number, number",9,737249,1004.7,0.102,28.7,301.45,46.9,11.56,16.29,2.89,-1.97,304.2,3.5,39.056,-76.875,5.69,56.6,0.25,44.86,32.16
19,10,737250,1003.9,0.109,28.6,301.41,47.1,11.55,16.27,3.02,-2.14,305.4,3.7,39.056,-76.875,5.68,56.6,0.29,44.85,32.17
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737251,1003.2,0.115,28.5,301.37,47.2,11.52,16.21,3.05,-2.27,306.6,3.8,39.056,-76.875,5.68,56.6,0.32,44.83,32.17
