Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,62163,1011.74,0.06,32.8,32.94,304.931,36.96,16.183,49.52,1.416,5.6955,0.0563,43.8,17,84,39.25424,-76.7091,0.06,0.71,249.75
"Sullivan, John T.",2,62164,1011.76,0.0598,32.6422,32.7822,304.7722,36.8219,15.9858,49.52,1.4268,5.74037,0.0567,43.8,17,84,39.25425,-76.7091,0.059,0.71,249.75
NASA/GSFC,3,62165,1011.77,0.0597,32.6497,32.7897,304.7788,36.7714,15.9713,49.5297,1.4319,5.76113,0.0569,43.8,17,84.97239,39.25425,-76.7091,0.059,0.71,249.75
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,62166,1011.86,0.0589,32.4199,32.5599,304.5422,36.6837,15.7314,49.4725,1.432,5.7617,0.0569,43.8,17,85,39.25426,-76.7091,0.059,0.71,249.75
OWLETS-2,5,62167,1011.85,0.059,32.4196,32.5596,304.5427,36.6205,15.7039,49.5499,1.432,5.76221,0.0569,43.82,17,85,39.25426,-76.709,0.059,0.3709,225.9652
"1,1",6,62168,1011.83,0.0592,32.3605,32.5005,304.4855,36.7093,15.6901,49.5401,1.436,5.78016,0.0571,43.91,17,85,39.25426,-76.709,0.059,0.5188,233.5096
"2018, 06, 30, 2019, 02, 28",7,62169,1011.83,0.0592,32.3209,32.4609,304.4459,36.7883,15.688,49.54,1.436,5.78118,0.0571,43.96,17,85,39.25426,-76.709,0.058,0.52,233.57
1,8,62170,1011.93,0.0583,32.5418,32.6818,304.6582,37.4073,16.1442,49.5304,1.4514,5.84505,0.0578,43.96,17,85,39.25427,-76.709,0.058,0.6743,226.1916
"Index_number, number",9,62171,1011.96,0.058,32.0356,32.1756,304.1506,37.3064,15.6557,49.5301,1.4661,5.90561,0.0584,43.96,17,84.98718,39.25427,-76.709,0.058,0.5897,211.644
20,10,62172,1012.06,0.0572,31.7003,31.8403,303.8083,37.0303,15.2444,49.54,1.47,5.92198,0.0585,43.96,17,84.00098,39.25426,-76.709,0.059,0.57,201.1804
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,62173,1012.06,0.0572,32.2813,32.4213,304.3863,36.9709,15.7307,49.5499,1.469,5.91786,0.0585,43.96,17,84,39.25426,-76.709,0.059,0.7375,200.4015
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,62174,1012.07,0.0571,31.9112,32.0512,304.0171,37.0574,15.4408,49.6277,1.4739,5.93791,0.0587,43.96,17,84,39.25426,-76.709,0.059,1.0606,212.4742
"Seconds_UTC, s",13,62175,1012.07,0.0571,31.2952,31.4352,303.4032,37.073,14.9039,49.6296,1.4731,5.93471,0.0586,43.96,17,84,39.25426,-76.709,0.058,1.0752,212.862
"Pressure_hPa, hPa",14,62176,1012.08,0.057,31.5736,31.7136,303.6796,37.2313,15.2167,49.61,1.477,5.95102,0.0588,43.96,17,84,39.25426,-76.709,0.058,1.3512,214.5558
"Altitude_km, km",15,62177,1012.03,0.0574,32.2935,32.4335,304.4015,37.4877,15.9583,49.6199,1.478,5.95506,0.0588,43.96,17,84,39.25426,-76.709,0.059,1.5978,217.7215
"Temp_degC, degC",16,62178,1012.01,0.0576,31.9775,32.1175,304.0884,37.5095,15.6884,49.62,1.4829,5.97533,0.059,43.96,17,84.97732,39.25426,-76.709,0.059,2.2353,225.7249
"RawTemp_degC, degC",17,62179,1012.03,0.0574,31.5942,31.7342,303.7043,37.7027,15.4305,49.6104,1.4955,6.02764,0.0596,43.96,17,85,39.25426,-76.709,0.059,2.4716,230.6216
"Theta_K, K",18,62180,1011.99,0.0578,32.1621,32.3021,304.2738,37.971,16.0434,49.5998,1.5007,6.04901,0.0597,43.96,17,85,39.25426,-76.709,0.059,2.4791,230.7676
"RH_percent, percent",19,62181,1012.32,0.0549,31.5029,31.6429,303.5885,38.0546,15.4947,49.5812,1.5573,6.28355,0.062,43.96,17,85,39.25427,-76.709,0.0618,2.4048,228.0656
"Frostpoint_degC, degC",20,62182,1012.14,0.0565,31.1373,31.2773,303.2397,38.3551,15.293,49.4693,1.6163,6.52794,0.0645,43.96,17,84.0779,39.2543,-76.709,0.0657,2.5936,228.5816
"InternalTemp_degC, degC",21,62183,1011.95,0.0581,31.0486,31.1886,303.1677,38.7626,15.3782,49.4931,1.6243,6.561,0.0648,43.96,17,82.58308,39.25432,-76.7089,0.0693,2.7564,228.9376
"Ozonecurrent_uA, uA",22,62184,1011.77,0.0598,30.9819,31.1219,303.1175,39.178,15.4859,49.529,1.6279,6.57587,0.065,43.96,17,81.04462,39.25434,-76.7089,0.0729,2.9154,229.2606
"Ozone_mPa, mPa",23,62185,1011.08,0.0658,30.664,30.804,302.8584,39.7071,15.4124,49.6066,1.6069,6.48906,0.0641,43.96,17,81,39.25436,-76.7089,0.0759,3.3413,232.4301
"Ozone_ppmv, ppmv",24,62186,1010.57,0.0703,30.6217,30.7617,302.8602,40.2302,15.5779,49.6006,1.5918,6.42659,0.0636,43.96,17,81,39.25439,-76.7089,0.0798,3.511,234.4198
"PumpTemp_degC, degC",25,62187,1010.03,0.0752,30.8711,31.0111,303.1549,41.1249,16.1451,49.6465,1.6068,6.48857,0.0643,43.96,17,80.07002,39.25445,-76.7089,0.0846,3.6595,235.5623
"OzoneBattery_V, V",26,62188,1009.56,0.0793,30.62,30.76,302.9452,41.4879,16.0576,49.7152,1.6127,6.51277,0.0645,43.96,17,80,39.25449,-76.7089,0.0887,3.8748,237.0456
"PumpCurrent_mA, mA",27,62189,1009.05,0.0838,30.5804,30.7204,302.9495,41.7838,16.1341,49.6515,1.5876,6.40888,0.0635,43.96,17,80.97794,39.25451,-76.7088,0.0929,3.978,238.5876
"Latitude_deg, deg",28,62190,1008.6,0.0879,30.551,30.691,302.9587,41.9541,16.1708,49.65,1.5764,6.36257,0.0631,43.96,17,81,39.25454,-76.7088,0.0969,4.3758,238.4172
"Longitude_deg, deg",29,62191,1008.11,0.0921,30.4643,30.6043,302.9133,42.0647,16.1349,49.7071,1.5731,6.3492,0.063,43.96,17,81,39.25457,-76.7087,0.0999,4.6184,237.8866
"GPSAltitude_km, km",30,62192,1007.78,0.0951,30.5069,30.6469,302.9842,42.6421,16.3862,49.7569,1.5871,6.40684,0.0636,43.96,17,81,39.2546,-76.7087,0.1047,4.8926,237.7662
"WindSpeed_mps, mps",31,62193,1007.31,0.0993,30.4903,30.6303,303.0087,42.9953,16.5015,49.7009,1.6038,6.47593,0.0643,43.96,17,81,39.25462,-76.7086,0.1089,4.9396,238.765
"WindDirection_deg, deg",32,62194,1006.46,0.1068,30.2663,30.4063,302.8573,43.457,16.468,49.6806,1.5807,6.38054,0.0634,43.97,17,81.97239,39.2546,-76.7085,0.1148,5.047,239.0037
0,33,62195,1006.07,0.1104,30.1833,30.3233,302.8089,43.7096,16.4843,49.7183,1.5762,6.36342,0.0632,44.05,17,82,39.25459,-76.7085,0.1198,5.213,239.01
19,34,62196,1005.58,0.1146,30.1298,30.2698,302.7971,44.2021,16.6115,49.7201,1.6049,6.48377,0.0645,44.11,17,82,39.25461,-76.7085,0.127,5.2184,239.0188
"PI_CONTACT_INFO: 8800 Greenbelt Rd, Bldg 33, Room E316,  Greenbelt, MD 20771, 301-614-5549; email: john.t.sullivan@nasa.gov",35,62197,1005.07,0.1192,30.1002,30.2402,302.8109,44.4979,16.6895,49.7299,1.5901,6.42263,0.0639,44.12,17,82,39.25465,-76.7084,0.133,4.9916,240.2812
"PLATFORM: University of Maryland, Baltimore County",36,62198,1004.52,0.1241,30.1,30.24,302.858,44.6175,16.7321,49.7888,1.5822,6.38979,0.0636,44.12,17,82,39.2547,-76.7084,0.1389,5.0586,239.722
"LOCATION:  39.254, -76.709, 60 m",37,62199,1003.81,0.1304,30.071,30.211,302.8899,44.8034,16.7707,49.7224,1.5723,6.34903,0.0632,44.12,17,82,39.25473,-76.7083,0.1458,5.1565,239.3914
ASSOCIATED_DATA: N/A,38,62200,1003.15,0.1363,30.0499,30.1899,302.9265,45.1041,16.8573,49.7694,1.5881,6.41438,0.0639,44.12,17,82,39.25473,-76.7083,0.151,5.1201,238.41
"INSTRUMENT_INFO: ECC Ozonesonde with 0.5% KI half buffer solution with 5ATBMT pump corrections, attached to iMet-1-RSB radiosonde. See DM contact for more information",39,62201,1002.55,0.1416,30.04,30.18,302.968,45.4197,16.9579,49.72,1.597,6.45116,0.0643,44.12,17,82,39.25471,-76.7082,0.154,5.13,238.41
DATA_INFO:  All data 1 Hz interval,40,62202,1002.12,0.1454,30.0301,30.1701,302.9956,45.3609,16.9284,49.7988,1.595,6.44312,0.0643,44.12,17,82,39.25469,-76.7082,0.157,5.199,241.0011
"UNCERTAINTY:  ~5-10% in troposphere, ~5% in stratosphere, see Witte et al., (2018, JGR) for more details",41,62203,1001.65,0.1496,30.0009,30.1409,303.0067,45.36,16.9018,49.7903,1.6125,6.51537,0.0651,44.12,17,82,39.25469,-76.7081,0.1619,5.1903,242.1183
ULOD_FLAG: -77777,42,62204,1001.12,0.1544,29.9946,30.1346,303.0463,45.2345,16.8526,49.79,1.6298,6.58707,0.0658,44.12,17,82,39.25471,-76.708,0.1671,5.1722,242.1938
ULOD_VALUE: N/A,43,62205,1000.68,0.1583,29.711,29.851,302.8013,45.4707,16.6782,49.7899,1.6179,6.53769,0.0653,44.12,17,82,39.25476,-76.7079,0.173,5.2902,244.514
LLOD_FLAG: -88888,44,62206,1000.06,0.1639,29.9181,30.0581,303.0617,45.6187,16.9159,49.7702,1.5883,6.4151,0.0641,44.12,17,82,39.25481,-76.7079,0.1799,5.3396,249.3168
LLOD_VALUE: N/A,45,62207,999.36,0.1702,29.9005,30.0405,303.105,45.7471,16.9444,49.77,1.6036,6.4788,0.0648,44.12,17,82,39.25484,-76.7078,0.1868,5.4866,251.3928
