Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737244,1011.86,0.052,24.95,297.1,93.1,18.4,23.76,0,0,0,0,39.056,-76.876,0.59,5.8,0,4.62,302.23
"Sakai, Ricardo K.",2,737245,1011.28,0.057,24.95,297.14,93.15,18.42,23.77,0.4,0.25,238.42,0.47,39.056,-76.876,0.6,5.9,0.01,4.7,302.23
Howard University - Beltsville,3,737246,1010.59,0.063,25.14,297.39,92.91,18.6,23.91,0.56,0.36,237.4,0.66,39.056,-76.876,0.6,6,0.01,4.74,302.24
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737247,1009.94,0.069,25.48,297.79,92.18,18.85,24.12,0.65,0.43,236.42,0.78,39.056,-76.876,0.6,6,0.01,4.77,302.25
OWLETS-II,5,737248,1009.29,0.075,25.94,298.3,90.78,19.09,24.32,0.71,0.49,235.34,0.87,39.056,-76.876,0.61,6,0.02,4.78,302.25
"1,1",6,737249,1008.65,0.08,26.56,298.97,88.73,19.38,24.55,0.77,0.55,234.23,0.95,39.056,-76.876,0.62,6.1,0.02,4.85,302.27
"2018, 07, 03, 2018, 08, 07",7,737250,1008.05,0.086,27.3,299.76,86.35,19.71,24.83,0.83,0.62,233.13,1.03,39.056,-76.876,0.64,6.3,0.02,5.01,302.27
1,8,737251,1007.46,0.091,27.94,300.45,84.05,19.93,25,0.89,0.7,232.11,1.13,39.056,-76.876,0.66,6.5,0.02,5.2,302.27
"Index_number, number",9,737252,1006.84,0.096,28.3,300.86,82.17,19.91,24.98,0.96,0.78,231.12,1.24,39.056,-76.876,0.69,6.8,0.03,5.41,302.28
19,10,737253,1006.19,0.102,28.45,301.06,80.71,19.74,24.82,1.03,0.86,230.17,1.34,39.056,-76.876,0.72,7.2,0.03,5.7,302.28
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737254,1005.55,0.108,28.49,301.16,79.42,19.48,24.6,1.1,0.95,229.27,1.45,39.056,-76.876,0.76,7.5,0.04,5.99,302.28
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,737255,1004.9,0.114,28.48,301.21,78.1,19.15,24.31,1.17,1.04,228.42,1.57,39.056,-76.876,0.8,7.9,0.04,6.28,302.28
"Seconds_UTC, s",13,737256,1004.24,0.119,28.46,301.24,76.9,18.84,24.03,1.24,1.13,227.62,1.68,39.056,-76.876,0.84,8.3,0.04,6.59,302.28
"Pressure_hPa, hPa",14,737257,1003.58,0.125,28.43,301.28,76.17,18.64,23.85,1.31,1.23,226.9,1.8,39.056,-76.876,0.88,8.7,0.05,6.92,302.28
"Altitude_km, km",15,737258,1002.92,0.131,28.42,301.31,75.93,18.57,23.78,1.38,1.32,226.24,1.91,39.056,-76.876,0.92,9.2,0.05,7.24,302.28
"Temp_degC, degC",16,737259,1002.27,0.137,28.4,301.35,75.92,18.56,23.76,1.45,1.42,225.64,2.03,39.056,-76.876,0.95,9.5,0.06,7.53,302.28
"Theta_K, K",17,737260,1001.63,0.143,28.36,301.37,75.94,18.54,23.73,1.52,1.51,225.11,2.14,39.056,-76.876,1,9.9,0.06,7.85,302.28
"RH_percent, percent",18,737261,1001.03,0.148,28.32,301.38,75.99,18.52,23.7,1.58,1.6,224.64,2.25,39.056,-76.876,1.04,10.4,0.07,8.19,302.28
"H2O_gpkg, gpkg",19,737262,1000.46,0.153,28.27,301.38,76.06,18.49,23.67,1.65,1.69,224.22,2.36,39.057,-76.876,1.07,10.7,0.07,8.48,302.29
"Frostpoint_degC, degC",20,737263,999.85,0.159,28.22,301.39,76.11,18.46,23.63,1.71,1.78,223.86,2.47,39.057,-76.876,1.11,11.2,0.08,8.8,302.29
"u_mps, mps",21,737264,999.21,0.164,28.17,301.39,76.19,18.44,23.6,1.77,1.86,223.56,2.57,39.057,-76.875,1.16,11.7,0.09,9.19,302.29
"v_mps, mps",22,737265,998.58,0.17,28.12,301.4,76.34,18.44,23.59,1.83,1.94,223.33,2.66,39.057,-76.875,1.2,12,0.09,9.47,302.3
"WindDirection_deg, deg",23,737266,997.97,0.175,28.1,301.42,76.58,18.48,23.61,1.88,2.01,223.16,2.75,39.057,-76.875,1.23,12.3,0.1,9.71,302.3
"WindSpeed_mps, mps",24,737267,997.39,0.181,28.08,301.46,76.82,18.53,23.65,1.93,2.07,223.07,2.83,39.057,-76.875,1.26,12.7,0.1,9.97,302.3
"Latitude_deg, deg",25,737268,996.8,0.186,28.06,301.48,77.02,18.56,23.67,1.99,2.13,223.05,2.91,39.057,-76.875,1.32,13.2,0.11,10.42,302.3
"Longitude_deg, deg",26,737269,996.17,0.191,28.02,301.5,77.15,18.57,23.66,2.03,2.17,223.09,2.98,39.057,-76.875,1.37,13.8,0.12,10.82,302.31
"Ozone_mPa, mPa",27,737270,995.51,0.197,27.97,301.51,77.28,18.56,23.64,2.08,2.21,223.21,3.03,39.057,-76.875,1.41,14.2,0.12,11.12,302.31
"Ozone_ppmv, ppmv",28,737271,994.84,0.203,27.93,301.52,77.41,18.56,23.63,2.12,2.24,223.4,3.09,39.057,-76.875,1.45,14.6,0.13,11.46,302.31
"intO3_DU, DU",29,737272,994.2,0.209,27.89,301.54,77.54,18.55,23.61,2.16,2.26,223.66,3.13,39.057,-76.875,1.49,15,0.14,11.76,302.31
"resO3_DU, DU",30,737273,993.57,0.215,27.84,301.54,77.68,18.54,23.6,2.2,2.28,223.99,3.16,39.057,-76.875,1.54,15.5,0.15,12.17,302.31
"PumpTemp_degC, degC",31,737274,992.94,0.22,27.79,301.55,77.85,18.54,23.58,2.23,2.28,224.38,3.19,39.057,-76.875,1.58,15.9,0.16,12.44,302.31
0,32,737275,992.29,0.226,27.75,301.57,78.06,18.57,23.6,2.26,2.27,224.84,3.21,39.057,-76.875,1.62,16.3,0.16,12.78,302.31
18,33,737276,991.65,0.232,27.75,301.62,78.27,18.63,23.64,2.29,2.26,225.36,3.22,39.057,-76.875,1.66,16.7,0.17,13.08,302.31
"PI_CONTACT_INFO: 7501 Muirkirk Rd, Beltsville, MD 20705, 301-419-9030; email: ricardo.k.sakai@Howard.edu",34,737277,991.02,0.238,27.77,301.7,78.45,18.71,23.69,2.32,2.24,225.95,3.22,39.057,-76.875,1.7,17.2,0.18,13.44,302.32
PLATFORM: Howard University - Beltsville,35,737278,990.42,0.243,27.8,301.78,78.55,18.78,23.74,2.34,2.21,226.6,3.22,39.057,-76.875,1.75,17.7,0.19,13.83,302.32
"LOCATION:  39.056, -76.876, 67 m",36,737279,989.81,0.249,27.82,301.86,78.57,18.82,23.77,2.36,2.18,227.32,3.22,39.057,-76.875,1.81,18.3,0.2,14.28,302.32
ASSOCIATED_DATA: N/A,37,737280,989.16,0.254,27.85,301.93,78.49,18.84,23.78,2.39,2.14,228.1,3.21,39.057,-76.875,1.88,19,0.21,14.82,302.32
"INSTRUMENT_INFO: contact Adrian Flores, quanta21@gmail.com",38,737281,988.51,0.26,27.87,302.02,78.32,18.84,23.76,2.41,2.1,228.92,3.19,39.057,-76.875,1.93,19.5,0.22,15.23,302.32
DATA_INFO:  All data 1 Hz interval,39,737282,987.89,0.266,27.9,302.1,78.11,18.83,23.75,2.43,2.05,229.8,3.18,39.057,-76.875,1.98,20.1,0.23,15.65,302.32
"UNCERTAINTY:  10%, See Smit et al., JGR, 2007 for more details",40,737283,987.29,0.271,27.92,302.18,77.88,18.81,23.72,2.45,2,230.73,3.16,39.057,-76.875,2.03,20.5,0.24,15.98,302.32
ULOD_FLAG: -77777,41,737284,986.69,0.277,27.96,302.26,77.63,18.8,23.7,2.47,1.95,231.68,3.14,39.057,-76.875,2.06,20.9,0.25,16.29,302.34
ULOD_VALUE: N/A,42,737285,986.06,0.282,27.99,302.36,77.4,18.79,23.69,2.48,1.89,232.67,3.12,39.057,-76.875,2.11,21.4,0.26,16.61,302.34
LLOD_FLAG: -88888,43,737286,985.41,0.288,28.03,302.45,77.18,18.79,23.67,2.5,1.84,233.67,3.11,39.057,-76.875,2.14,21.7,0.27,16.87,302.34
LLOD_VALUE: N/A,44,737287,984.75,0.294,28.05,302.53,76.95,18.78,23.65,2.52,1.79,234.69,3.09,39.057,-76.875,2.17,22.1,0.28,17.13,302.34
"DM_CONTACT_INFO:  Adrian Flores, email: quanta21@gmail.com",45,737288,984.1,0.3,28.08,302.61,76.66,18.74,23.61,2.54,1.73,235.71,3.08,39.057,-76.875,2.17,22.1,0.29,17.15,302.34
"PROJECT_INFO:  NASA OWLETS-II; 06 June-06 July 2018; University of Howard, Beltsville Campus, Beltsville, Maryland, United States of America; https://www-air.larc.nasa.gov/missions/owlets/index.html",46,737289,983.49,0.306,28.09,302.68,76.34,18.69,23.56,2.56,1.68,236.74,3.06,39.057,-76.875,2.18,22.1,0.3,17.19,302.34
STIPULATIONS_ON_USE:  Use of these data requires prior approval from Ricardo Sakai (ricardo.k.sakai@Howard.edu,47,737290,982.89,0.311,28.09,302.73,76.08,18.64,23.5,2.58,1.63,237.77,3.06,39.057,-76.875,2.2,22.4,0.31,17.39,302.34
OTHER_COMMENTS: Launch Time: 2018-07-03 06:15:03,48,737291,982.29,0.317,28.08,302.77,75.94,18.6,23.45,2.61,1.58,238.78,3.05,39.057,-76.875,2.23,22.7,0.32,17.59,302.34
REVISION: RA,49,737292,981.67,0.322,28.05,302.8,75.9,18.57,23.42,2.63,1.53,239.77,3.05,39.057,-76.875,2.25,22.9,0.34,17.74,302.34
"RA: These data are interpolated to 1Hz and include a pressure correction described in Stauffer et al. (2014, AMT)",50,737293,981.07,0.328,28.02,302.82,75.93,18.56,23.4,2.66,1.49,240.74,3.05,39.057,-76.875,2.27,23.1,0.35,17.88,302.34
"Index_number, Seconds_UTC, Pressure_hPa, Altitude_km, Temp_degC, Theta_K, RH_percent, H2O_gpkg, Frostpoint_degC, u_mps, v_mps,  WindDirection_deg, WindSpeed_mps,  Latitude_deg, Longitude_deg, Ozone_mPa, Ozone_ppmv, intO3_DU, resO3_DU, PumpTemp_degC",51,737294,980.5,0.333,27.99,302.84,76.02,18.56,23.39,2.69,1.45,241.68,3.06,39.057,-76.875,2.29,23.4,0.36,18.07,302.34
,52,737295,979.93,0.338,27.95,302.85,76.22,18.58,23.39,2.72,1.41,242.59,3.06,39.057,-76.875,2.3,23.5,0.37,18.18,302.35
,53,737296,979.33,0.343,27.91,302.87,76.51,18.61,23.42,2.75,1.37,243.47,3.07,39.057,-76.875,2.32,23.7,0.38,18.28,302.35
,54,737297,978.69,0.349,27.88,302.89,76.77,18.65,23.44,2.78,1.34,244.32,3.09,39.057,-76.875,2.32,23.7,0.39,18.33,302.35
,55,737298,978.05,0.355,27.84,302.91,76.91,18.66,23.44,2.81,1.3,245.16,3.1,39.057,-76.875,2.35,24,0.4,18.53,302.35
,56,737299,977.42,0.361,27.82,302.94,76.97,18.66,23.42,2.85,1.27,245.98,3.12,39.057,-76.875,2.35,24.1,0.42,18.55,302.35
,57,737300,976.8,0.366,27.79,302.97,77.02,18.66,23.41,2.88,1.24,246.8,3.14,39.057,-76.874,2.35,24.1,0.43,18.57,302.35
,58,737301,976.19,0.372,27.77,303,77.08,18.66,23.41,2.92,1.2,247.61,3.16,39.057,-76.874,2.35,24.1,0.44,18.58,302.35
,59,737302,975.57,0.378,27.75,303.04,77.09,18.65,23.39,2.95,1.17,248.43,3.17,39.057,-76.874,2.36,24.2,0.45,18.61,302.36
,60,737303,974.95,0.383,27.73,303.07,77.04,18.62,23.35,2.98,1.13,249.27,3.19,39.057,-76.874,2.37,24.3,0.46,18.68,302.36
,61,737304,974.32,0.389,27.69,303.09,76.96,18.58,23.3,3.02,1.09,250.12,3.21,39.057,-76.874,2.37,24.3,0.48,18.7,302.36
,62,737305,973.68,0.395,27.66,303.12,76.84,18.53,23.25,3.05,1.05,250.99,3.22,39.057,-76.874,2.37,24.3,0.49,18.7,302.36
,63,737306,973.04,0.401,27.64,303.15,76.65,18.47,23.19,3.08,1.01,251.89,3.24,39.057,-76.874,2.37,24.4,0.5,18.71,302.36
,64,737307,972.42,0.407,27.64,303.2,76.35,18.4,23.12,3.1,0.96,252.82,3.25,39.057,-76.874,2.39,24.6,0.51,18.87,302.36
,65,737308,971.8,0.412,27.64,303.26,75.94,18.32,23.03,3.13,0.91,253.78,3.26,39.057,-76.874,2.4,24.7,0.52,18.93,302.36
,66,737309,971.16,0.418,27.66,303.34,75.43,18.23,22.94,3.16,0.86,254.77,3.27,39.057,-76.874,2.41,24.9,0.54,19.05,302.36
,67,737310,970.5,0.424,27.67,303.41,74.89,18.12,22.84,3.18,0.8,255.8,3.28,39.057,-76.874,2.44,25.2,0.55,19.26,302.37
