Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737228,1010.47,0.052,19.28,291.56,91.1,12.69,17.8,-0.03,-0.1,18,0.1,39.056,-76.876,1.25,12.4,0,9.9,305.4
"Sakai, Ricardo K.",2,737229,1010.11,0.055,19.11,291.42,90.56,12.49,17.53,-0.69,0.42,120.98,0.81,39.056,-76.876,1.28,12.7,0.01,10.12,305.4
Howard University - Beltsville,3,737230,1009.67,0.059,19.15,291.49,90.3,12.48,17.52,-0.88,0.59,123.7,1.06,39.056,-76.876,1.31,13,0.01,10.32,305.39
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737231,1009.12,0.064,19.37,291.76,89.75,12.59,17.65,-0.97,0.69,125.45,1.19,39.056,-76.876,1.31,13,0.02,10.34,305.39
OWLETS-II,5,737232,1008.49,0.069,19.74,292.18,88.46,12.71,17.79,-0.99,0.75,127.09,1.25,39.056,-76.876,1.33,13.2,0.03,10.52,305.39
"1,1",6,737233,1007.84,0.075,20.26,292.76,86.35,12.82,17.92,-1.01,0.81,128.78,1.3,39.056,-76.876,1.34,13.3,0.03,10.6,305.36
"2018, 06, 17, 2018, 08, 07",7,737234,1007.22,0.08,20.9,293.45,83.77,12.95,18.06,-1.02,0.87,130.52,1.34,39.056,-76.876,1.36,13.5,0.04,10.72,305.35
1,8,737235,1006.61,0.085,21.46,294.06,81.22,13,18.12,-1.04,0.95,132.24,1.41,39.056,-76.876,1.41,14,0.05,11.11,305.32
"Index_number, number",9,737236,1005.98,0.091,21.8,294.45,78.98,12.91,18.01,-1.05,1.02,133.99,1.46,39.056,-76.876,1.5,14.9,0.05,11.81,305.32
19,10,737237,1005.36,0.096,22.01,294.71,77.02,12.76,17.81,-1.06,1.09,135.77,1.52,39.056,-76.876,1.58,15.7,0.06,12.48,305.27
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737238,1004.81,0.101,22.25,295,75.18,12.65,17.67,-1.06,1.16,137.6,1.57,39.056,-76.876,1.67,16.6,0.07,13.18,305.27
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,737239,1004.34,0.105,22.52,295.3,73.54,12.58,17.57,-1.05,1.22,139.49,1.61,39.057,-76.876,1.77,17.6,0.07,13.95,305.27
"Seconds_UTC, s",13,737240,1003.92,0.109,22.75,295.56,72.16,12.52,17.49,-1.03,1.29,141.42,1.65,39.057,-76.876,1.9,18.9,0.08,14.96,305.26
"Pressure_hPa, hPa",14,737241,1003.52,0.112,22.91,295.77,71.02,12.45,17.4,-1.01,1.35,143.38,1.69,39.057,-76.876,2.02,20.1,0.09,15.93,305.26
"Altitude_km, km",15,737242,1003.12,0.116,23.04,295.93,69.97,12.37,17.29,-0.98,1.41,145.33,1.72,39.057,-76.876,2.12,21.1,0.09,16.74,305.25
"Temp_degC, degC",16,737243,1002.7,0.119,23.16,296.08,68.82,12.25,17.14,-0.94,1.47,147.26,1.75,39.057,-76.876,2.24,22.3,0.1,17.66,305.23
"Theta_K, K",17,737244,1002.22,0.123,23.28,296.24,67.54,12.12,16.96,-0.91,1.52,149.19,1.77,39.057,-76.876,2.35,23.4,0.11,18.51,305.22
"RH_percent, percent",18,737245,1001.72,0.128,23.38,296.38,66.33,11.98,16.77,-0.86,1.56,151.14,1.79,39.057,-76.876,2.45,24.5,0.12,19.33,305.22
"H2O_gpkg, gpkg",19,737246,1001.22,0.132,23.43,296.48,65.37,11.84,16.59,-0.81,1.6,153.14,1.8,39.057,-76.876,2.53,25.3,0.13,19.99,305.2
"Frostpoint_degC, degC",20,737247,1000.75,0.136,23.46,296.54,64.64,11.74,16.44,-0.76,1.64,155.23,1.81,39.057,-76.876,2.63,26.3,0.14,20.77,305.17
"u_mps, mps",21,737248,1000.32,0.14,23.46,296.59,64.12,11.65,16.32,-0.7,1.67,157.39,1.81,39.057,-76.876,2.73,27.3,0.15,21.53,305.07
"v_mps, mps",22,737249,999.91,0.144,23.46,296.61,63.76,11.58,16.23,-0.63,1.7,159.61,1.81,39.057,-76.876,2.82,28.2,0.16,22.24,305
"WindDirection_deg, deg",23,737250,999.52,0.147,23.44,296.63,63.5,11.53,16.15,-0.57,1.73,161.87,1.82,39.057,-76.876,2.92,29.2,0.17,23.02,305
"WindSpeed_mps, mps",24,737251,999.13,0.15,23.43,296.65,63.29,11.49,16.09,-0.5,1.75,164.12,1.82,39.057,-76.876,3,30,0.18,23.68,305
"Latitude_deg, deg",25,737252,998.71,0.154,23.42,296.67,63.08,11.44,16.02,-0.43,1.77,166.38,1.82,39.057,-76.876,3.07,30.8,0.19,24.24,305.01
"Longitude_deg, deg",26,737253,998.24,0.158,23.39,296.69,62.86,11.39,15.94,-0.36,1.78,168.64,1.82,39.057,-76.876,3.17,31.7,0.2,24.98,305.01
"Ozone_mPa, mPa",27,737254,997.74,0.163,23.37,296.71,62.62,11.34,15.86,-0.29,1.79,170.93,1.82,39.057,-76.876,3.22,32.3,0.21,25.41,305.01
"Ozone_ppmv, ppmv",28,737255,997.27,0.167,23.35,296.74,62.35,11.28,15.78,-0.21,1.8,173.25,1.82,39.057,-76.876,3.28,32.9,0.23,25.88,304.93
"intO3_DU, DU",29,737256,996.8,0.171,23.35,296.77,62.04,11.23,15.7,-0.14,1.81,175.6,1.82,39.057,-76.876,3.36,33.7,0.24,26.5,304.93
"resO3_DU, DU",30,737257,996.33,0.175,23.36,296.82,61.71,11.18,15.62,-0.07,1.83,177.93,1.83,39.057,-76.876,3.42,34.3,0.25,27,304.93
"PumpTemp_degC, degC",31,737258,995.81,0.18,23.36,296.87,61.32,11.12,15.53,0.01,1.84,180.23,1.84,39.057,-76.876,3.49,35,0.27,27.5,304.93
0,32,737259,995.26,0.184,23.37,296.92,60.85,11.04,15.41,0.08,1.85,182.46,1.85,39.057,-76.876,3.54,35.6,0.28,27.95,304.96
18,33,737260,994.73,0.189,23.38,296.98,60.33,10.96,15.29,0.15,1.87,184.62,1.88,39.057,-76.876,3.59,36.1,0.3,28.34,304.97
"PI_CONTACT_INFO: 7501 Muirkirk Rd, Beltsville, MD 20705, 301-419-9030; email: ricardo.k.sakai@Howard.edu",34,737261,994.24,0.193,23.39,297.03,59.84,10.88,15.17,0.22,1.89,186.68,1.9,39.057,-76.876,3.63,36.5,0.31,28.64,305.04
PLATFORM: Howard University - Beltsville,35,737262,993.75,0.198,23.4,297.09,59.44,10.82,15.08,0.29,1.91,188.63,1.94,39.057,-76.876,3.7,37.2,0.33,29.16,305.04
"LOCATION:  39.056, -76.876, 67 m",36,737263,993.21,0.202,23.43,297.15,59.07,10.77,15.01,0.36,1.94,190.46,1.98,39.057,-76.876,3.74,37.6,0.35,29.49,305.04
ASSOCIATED_DATA: N/A,37,737264,992.62,0.208,23.45,297.23,58.69,10.73,14.93,0.43,1.98,192.17,2.02,39.057,-76.876,3.77,38,0.36,29.78,305.02
"INSTRUMENT_INFO: contact Adrian Flores, quanta21@gmail.com",38,737265,991.98,0.213,23.46,297.29,58.34,10.67,14.85,0.49,2.01,193.76,2.07,39.057,-76.876,3.81,38.4,0.39,30.06,305.02
DATA_INFO:  All data 1 Hz interval,39,737266,991.3,0.219,23.44,297.33,58.08,10.62,14.76,0.56,2.06,195.22,2.13,39.057,-76.876,3.85,38.8,0.41,30.35,305.01
"UNCERTAINTY:  10%, See Smit et al., JGR, 2007 for more details",40,737267,990.61,0.225,23.42,297.37,57.88,10.58,14.68,0.63,2.11,196.55,2.2,39.057,-76.876,3.87,39.1,0.43,30.55,305
ULOD_FLAG: -77777,41,737268,989.95,0.231,23.4,297.41,57.69,10.54,14.62,0.69,2.16,197.75,2.27,39.057,-76.876,3.88,39.2,0.45,30.64,305
ULOD_VALUE: N/A,42,737269,989.35,0.236,23.4,297.46,57.46,10.5,14.56,0.76,2.22,198.82,2.35,39.057,-76.876,3.88,39.3,0.46,30.65,304.93
LLOD_FLAG: -88888,43,737270,988.82,0.241,23.39,297.5,57.21,10.46,14.48,0.82,2.28,199.75,2.43,39.057,-76.876,3.94,39.8,0.48,31.07,304.91
LLOD_VALUE: N/A,44,737271,988.3,0.246,23.39,297.54,56.95,10.41,14.41,0.88,2.35,200.55,2.51,39.057,-76.876,4,40.5,0.5,31.59,304.91
"DM_CONTACT_INFO:  Adrian Flores, email: quanta21@gmail.com",45,737272,987.77,0.25,23.39,297.59,56.78,10.39,14.36,0.94,2.43,201.22,2.61,39.057,-76.876,4.06,41.1,0.51,32,304.9
