Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,61870,1010.46,0.06,29.87,30.01,302.12,46.04,17.019,41.47,1.558,5.7822,0.0572,36.74,16.9,71,39.25416,-76.7091,0.054,0.17,180
"Sullivan, John T.",2,61871,1010.49,0.0597,29.8539,29.9939,302.1016,46.0161,16.9966,41.43,1.5552,5.77136,0.0571,36.74,16.9,71,39.25416,-76.7091,0.054,0.17,180
NASA/GSFC,3,61872,1010.53,0.0594,29.9995,30.1395,302.2435,46.0805,17.1497,41.4302,1.557,5.7783,0.0572,36.74,16.9,71,39.25416,-76.7091,0.054,0.17,180
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,61873,1010.48,0.0598,29.8427,29.9827,302.0921,46.1958,17.0472,41.4846,1.5565,5.77624,0.0572,36.74,16.9,71,39.25417,-76.7091,0.054,0.17,180
OWLETS-2,5,61874,1010.43,0.0603,29.8713,30.0113,302.1244,45.9505,16.9894,41.4305,1.5511,5.7555,0.057,36.74,16.9,71,39.25417,-76.7091,0.054,0.17,180
"1,1",6,61875,1010.37,0.0608,30.0635,30.2035,302.3206,46.02,17.1871,41.4991,1.5596,5.78815,0.0573,36.74,16.9,71,39.25417,-76.7091,0.054,0.1579,171.5936
"2018, 06, 29, 2019, 02, 28",7,61876,1010.36,0.0609,30.0002,30.1402,302.2582,46.0206,17.1304,41.4901,1.5649,5.80868,0.0575,36.74,16.9,71,39.25418,-76.7091,0.054,0.0401,92.7893
1,8,61877,1010.37,0.0608,30.011,30.151,302.2683,46.0834,17.1611,41.5,1.5572,5.77896,0.0572,36.74,16.9,71,39.25418,-76.7091,0.054,0.0573,358.036
"Index_number, number",9,61878,1010.31,0.0613,29.7905,29.9305,302.0534,46.1388,16.981,41.5017,1.5609,5.79326,0.0573,36.74,16.9,71,39.25418,-76.7091,0.054,0.2355,312.3821
20,10,61879,1010.33,0.0611,29.4688,29.6088,301.7309,45.7886,16.5695,41.5301,1.559,5.78594,0.0573,36.74,16.9,71,39.25418,-76.7091,0.054,0.49,284.48
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,61880,1010.28,0.0616,29.3923,29.5323,301.6593,45.6927,16.467,41.54,1.558,5.7822,0.0572,36.74,16.9,71,39.25418,-76.7091,0.053,0.4982,283.3999
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,61881,1010.27,0.0617,29.4385,29.5785,301.7064,45.7504,16.5288,41.5409,1.558,5.78234,0.0572,36.74,16.9,71,39.25418,-76.7091,0.054,0.67,260.83
"Seconds_UTC, s",13,61882,1010.36,0.0609,29.3503,29.4903,301.6103,45.7603,16.4519,41.5905,1.5603,5.79092,0.0573,36.74,16.9,71,39.25418,-76.7091,0.054,0.6773,261.2756
"Pressure_hPa, hPa",14,61883,1010.36,0.0609,29.1628,29.3028,301.4238,45.5724,16.2174,41.5989,1.566,5.8128,0.0575,36.74,16.9,71,39.25418,-76.7091,0.053,0.8243,270.1455
"Altitude_km, km",15,61884,1010.34,0.0611,29.2842,29.4242,301.5464,45.6957,16.3702,41.5505,1.5658,5.8122,0.0575,36.74,16.9,71,39.25418,-76.7091,0.053,1.0289,277.1079
"Temp_degC, degC",16,61885,1010.31,0.0613,29.1854,29.3254,301.4503,45.9842,16.3793,41.5615,1.5631,5.80186,0.0574,36.74,16.9,71,39.25418,-76.7091,0.053,1.19,284.2901
"RawTemp_degC, degC",17,61886,1010.34,0.0611,29.4,29.54,301.662,46.1657,16.6353,41.6187,1.5692,5.82495,0.0576,36.74,16.9,71,39.25418,-76.7091,0.053,1.1959,276.4159
"Theta_K, K",18,61887,1010.34,0.0611,29.418,29.558,301.68,46.5257,16.7742,41.5929,1.5739,5.84308,0.0578,36.74,16.9,71,39.25418,-76.7091,0.0541,1.3494,270.9225
"RH_percent, percent",19,61888,1010.32,0.0612,29.6418,29.7818,301.9048,46.6023,17.0033,41.63,1.5858,5.88973,0.0583,36.8,16.9,71,39.25418,-76.7091,0.0552,1.6127,283.1203
"Frostpoint_degC, degC",20,61889,1010.32,0.0612,29.4623,29.6023,301.7257,46.6994,16.8727,41.63,1.6022,5.95223,0.0589,36.77,16.9,71,39.25418,-76.7091,0.0594,1.9092,288.792
"InternalTemp_degC, degC",21,61890,1010.12,0.063,29.363,29.503,301.6435,47.3408,16.9982,41.63,1.6049,5.96434,0.059,36.86,16.9,71,39.25416,-76.7091,0.0648,2.2886,286.091
"Ozonecurrent_uA, uA",22,61891,1009.71,0.0667,29.3035,29.4435,301.6193,48.1134,17.1988,41.6488,1.588,5.89981,0.0584,36.87,16.9,71,39.25415,-76.7091,0.0697,2.3942,292.8659
"Ozone_mPa, mPa",23,61892,1009.22,0.0709,29.0697,29.2097,301.427,48.466,17.1009,41.6497,1.5702,5.83138,0.0578,36.87,16.9,71,39.25413,-76.7091,0.0752,2.5405,295.1367
"Ozone_ppmv, ppmv",24,61893,1008.78,0.0748,29.0594,29.1994,301.4556,48.9209,17.2397,41.6404,1.576,5.85351,0.058,36.87,16.9,71,39.25412,-76.709,0.08,2.841,294.7667
"PumpTemp_degC, degC",25,61894,1008.4,0.0781,28.957,29.097,301.3854,49.0692,17.1933,41.7004,1.5723,5.83929,0.0579,36.87,16.9,71,39.25414,-76.709,0.0852,3.0192,295.6975
"OzoneBattery_V, V",26,61895,1007.98,0.0818,28.8774,29.0174,301.3409,49.3146,17.1991,41.7097,1.5791,5.86545,0.0582,36.87,16.9,71,39.25416,-76.709,0.0901,3.5223,291.9574
"PumpCurrent_mA, mA",27,61896,1007.37,0.0872,28.6054,28.7454,301.1216,49.8115,17.1086,41.6819,1.5854,5.88964,0.0585,36.87,16.9,71,39.25417,-76.7089,0.0962,3.7862,289.5769
"Latitude_deg, deg",28,61897,1006.76,0.0926,28.7336,28.8736,301.302,50.0863,17.3128,41.7277,1.5707,5.83341,0.0579,36.87,16.9,71,39.25415,-76.7089,0.0998,4.1708,290.2179
"Longitude_deg, deg",29,61898,1006.25,0.0972,28.7106,28.8506,301.3228,50.2767,17.3515,41.7202,1.5965,5.93227,0.059,36.87,16.9,71,39.2541,-76.7088,0.1059,4.2194,291.6436
"GPSAltitude_km, km",30,61899,1005.66,0.1025,28.5127,28.6527,301.1764,50.4398,17.2214,41.7388,1.5923,5.91616,0.0588,36.87,16.9,71,39.25408,-76.7087,0.1135,4.2858,292.7319
"WindSpeed_mps, mps",31,61900,1004.42,0.1135,28.4727,28.6127,301.2417,50.9599,17.3469,41.7127,1.5729,5.8417,0.0582,36.87,16.9,71,39.25413,-76.7087,0.124,4.4175,291.771
"WindDirection_deg, deg",32,61901,1003.72,0.1196,28.4238,28.5638,301.2527,51.3148,17.4117,41.7654,1.6061,5.96918,0.0595,36.87,16.9,71.92371,39.25414,-76.7087,0.1315,4.6794,290.1736
0,33,61902,1003.04,0.1256,28.2036,28.3436,301.0911,51.6411,17.3097,41.7606,1.5977,5.93692,0.0592,36.87,16.9,71.05901,39.25412,-76.7086,0.1367,4.86,290.05
19,34,61903,1002.32,0.1319,28.3703,28.5103,301.319,51.8403,17.5239,41.76,1.5898,5.90662,0.0589,36.87,16.9,71,39.25409,-76.7085,0.1433,4.9962,288.1029
"PI_CONTACT_INFO: 8800 Greenbelt Rd, Bldg 33, Room E316,  Greenbelt, MD 20771, 301-614-5549; email: john.t.sullivan@nasa.gov",35,61904,1001.65,0.138,28.3535,28.4935,301.3605,52.006,17.559,41.7509,1.5963,5.93152,0.0592,36.87,16.9,71,39.25409,-76.7084,0.1504,5.4845,283.0628
"PLATFORM: University of Maryland, Baltimore County",36,61905,1000.95,0.1442,28.2951,28.4351,301.362,52.4321,17.6342,41.7958,1.597,5.93429,0.0593,36.87,16.9,71,39.25407,-76.7083,0.1583,5.6491,282.1879
"LOCATION:  39.254, -76.709, 60 m",37,61906,1000.16,0.1511,28.085,28.225,301.2194,52.7402,17.5329,41.7907,1.5923,5.91641,0.0591,36.87,16.9,71,39.25403,-76.7083,0.1646,6.1259,282.5227
ASSOCIATED_DATA: N/A,38,61907,999.29,0.1589,27.8739,28.0139,301.0839,52.7507,17.341,41.7713,1.5957,5.92958,0.0594,36.88,16.9,71,39.25398,-76.7082,0.1715,6.3001,282.0083
"INSTRUMENT_INFO: ECC Ozonesonde with 0.5% KI half buffer solution with 5ATBMT pump corrections, attached to iMet-1-RSB radiosonde. See DM contact for more information",39,61908,998.55,0.1654,27.822,27.962,301.095,52.7595,17.2966,41.7985,1.5903,5.91053,0.0592,36.98,16.9,71,39.25396,-76.7081,0.1758,6.329,283.9673
DATA_INFO:  All data 1 Hz interval,40,61909,998.09,0.1695,27.8018,27.9418,301.1142,52.6872,17.2559,41.8,1.5563,5.78063,0.0579,37,16.9,71,39.25395,-76.708,0.1787,6.4119,285.9449
"UNCERTAINTY:  ~5-10% in troposphere, ~5% in stratosphere, see Witte et al., (2018, JGR) for more details",41,61910,997.59,0.1741,27.7446,27.8846,301.1003,52.8092,17.24,41.8461,1.5631,5.80683,0.0582,37,16.9,71,39.25395,-76.7079,0.1836,6.2816,287.9844
ULOD_FLAG: -77777,42,61911,997.13,0.1782,27.7306,27.8706,301.1263,52.7072,17.1958,41.8124,1.5931,5.92196,0.0594,37,16.9,71,39.25392,-76.7078,0.1878,6.2136,288.1776
ULOD_VALUE: N/A,43,61912,996.63,0.1825,27.5699,27.7099,301.0084,53.0014,17.1355,41.8571,1.6054,5.96885,0.0599,37,16.9,71,39.25388,-76.7078,0.1927,5.7484,287.0402
LLOD_FLAG: -88888,44,61913,996.1,0.1873,27.5408,27.6808,301.025,52.9816,17.1023,41.86,1.6146,6.00449,0.0603,37,16.9,71,39.25386,-76.7078,0.1997,5.6816,284.5814
LLOD_VALUE: N/A,45,61914,995.51,0.1925,27.4758,27.6158,301.0104,53.1727,17.0992,41.9059,1.6067,5.97414,0.06,37,16.9,71,39.25386,-76.7078,0.2,5.7534,286.7653
"DM_CONTACT_INFO:  John Sullivan, NASA GSFC Bldg 33 Rm E316; 301-614-5549; email: john.t.sullivan@nasa.gov",46,61915,994.61,0.2006,27.4517,27.5917,301.0639,53.2175,17.0908,41.8551,1.5868,5.89748,0.0593,37,16.9,71,39.25391,-76.7077,0.211,5.6776,289.8182
PROJECT_INFO: NASA OWLETS-2; https://www-air.larc.nasa.gov/missions/owlets/index.html,47,61916,993.78,0.208,27.5805,27.7205,301.2656,53.5834,17.3174,41.8873,1.5757,5.85501,0.0589,37,16.9,71,39.25394,-76.7077,0.2176,5.7259,291.105
"STIPULATIONS_ON_USE:  Please consult PI prior to use/publication, and ensure the data have not been updated since your download.  Use of data should include an offer of co-authorship on any manuscript to PI and DM.",48,61917,993.21,0.213,27.406,27.546,301.1392,53.7848,17.2153,41.89,1.5722,5.84182,0.0588,37,16.9,71,39.25396,-76.7076,0.2235,5.6012,291.6309
OTHER_COMMENTS: Launch Time (UTC): 2018-06-29 17:11:10,49,61918,992.4,0.2203,27.3548,27.4948,301.1578,53.9935,17.2296,41.89,1.5685,5.82736,0.0587,37,16.9,71,39.25397,-76.7075,0.2284,5.6691,295.9088
REVISION: R0,50,61919,991.64,0.2271,27.35,27.49,301.2199,54.076,17.2489,41.89,1.5773,5.86136,0.0591,37,16.9,71,39.25397,-76.7074,0.2337,5.68,296.49
RA: Initial data submission,51,61920,991.09,0.232,27.1884,27.3284,301.1055,54.2595,17.1531,41.9349,1.5879,5.90178,0.0595,37,16.9,71,39.25395,-76.7073,0.2394,5.6172,296.4182
"R0: Ozonesonde data have been reprocessed according to WMO standards following the ASOPOS Panel (Smit et al., 2012) and Witte et al. (2017, JGR)",52,61921,990.48,0.2374,27.1312,27.2712,301.1007,54.4836,17.1643,41.9012,1.5929,5.92103,0.0598,37,16.9,71,39.25393,-76.7073,0.2458,5.61,296.41
