Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737242,1010.9,0.052,33.5,305.7,41,13.23,18.5,-1,-0.02,89,1,39.056,-76.876,7.26,71.8,0,57.29,27.65
"Sakai, Ricardo K.",2,737243,1010.5,0.056,33.2,305.44,40.8,12.95,18.15,0.76,0.79,224,1.1,39.056,-76.876,7.26,71.8,0.02,57.29,27.66
Howard University - Beltsville,3,737244,1010,0.06,32.8,305.08,40.8,12.66,17.8,1.31,1.08,230.6,1.7,39.056,-76.876,7.26,71.9,0.05,57.29,27.67
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737245,1009.4,0.065,32.4,304.73,40.9,12.41,17.48,1.57,1.24,231.8,2,39.056,-76.876,7.26,71.9,0.08,57.29,27.68
OWLETS-II,5,737246,1008.7,0.072,32.3,304.69,41.2,12.44,17.5,1.65,1.3,231.7,2.1,39.056,-76.876,7.26,72,0.12,57.29,27.69
"1,1",6,737247,1008,0.078,32.1,304.56,41.5,12.4,17.44,1.71,1.38,231.2,2.2,39.056,-76.876,7.26,72,0.16,57.29,27.7
"2018, 06, 30, 2018, 08, 07",7,737248,1007.3,0.084,32,304.52,41.7,12.4,17.43,1.78,1.46,230.7,2.3,39.056,-76.876,7.26,72.1,0.2,57.29,27.71
1,8,737249,1006.7,0.09,31.9,304.47,41.5,12.28,17.26,1.85,1.53,230.5,2.4,39.056,-76.876,7.26,72.1,0.24,57.29,27.71
"Index_number, number",9,737250,1006.1,0.095,31.8,304.42,41.2,12.12,17.06,2,1.66,230.2,2.6,39.056,-76.876,7.26,72.2,0.27,57.29,27.73
19,10,737251,1005.5,0.1,31.6,304.27,40.8,11.87,16.72,2.07,1.74,229.9,2.7,39.057,-76.876,7.26,72.2,0.31,57.29,27.74
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737252,1004.9,0.106,31.4,304.12,40.5,11.66,16.43,2.13,1.81,229.6,2.8,39.057,-76.876,7.27,72.3,0.34,57.35,27.75
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,737253,1004.3,0.112,31.3,304.08,40.4,11.57,16.3,2.2,1.89,229.3,2.9,39.057,-76.876,7.27,72.4,0.38,57.39,27.77
"Seconds_UTC, s",13,737254,1003.7,0.117,31.2,304.03,40.6,11.57,16.29,2.19,1.9,229,2.9,39.057,-76.876,7.29,72.6,0.41,57.53,27.78
"Pressure_hPa, hPa",14,737255,1003.1,0.122,31.1,303.98,40.8,11.57,16.28,2.25,1.98,228.7,3,39.057,-76.875,7.31,72.9,0.44,57.64,27.79
"Altitude_km, km",15,737256,1002.5,0.127,31.1,304.03,41,11.63,16.35,2.32,2.06,228.4,3.1,39.057,-76.875,7.33,73.1,0.48,57.86,27.8
"Temp_degC, degC",16,737257,1002,0.132,31,303.98,41.2,11.63,16.34,2.38,2.14,228.1,3.2,39.057,-76.875,7.39,73.8,0.51,58.33,27.81
"Theta_K, K",17,737258,1001.4,0.137,31,304.03,41.3,11.66,16.38,2.37,2.15,227.7,3.2,39.057,-76.875,7.43,74.2,0.54,58.59,27.82
"RH_percent, percent",18,737259,1000.9,0.142,30.9,303.97,41.5,11.66,16.36,2.43,2.23,227.4,3.3,39.057,-76.875,7.46,74.5,0.57,58.86,27.83
"H2O_gpkg, gpkg",19,737260,1000.4,0.146,30.9,304.02,41.7,11.72,16.44,2.42,2.24,227.2,3.3,39.057,-76.875,7.51,75.1,0.6,59.29,27.84
"Frostpoint_degC, degC",20,737261,999.9,0.151,30.9,304.06,41.9,11.78,16.51,2.49,2.32,227,3.4,39.057,-76.875,7.55,75.5,0.63,59.6,27.85
"u_mps, mps",21,737262,999.4,0.155,30.8,304,42.1,11.78,16.5,2.47,2.33,226.7,3.4,39.057,-76.875,7.57,75.7,0.66,59.73,27.86
"v_mps, mps",22,737263,998.8,0.16,30.8,304.05,42.3,11.84,16.57,2.54,2.4,226.6,3.5,39.057,-76.875,7.57,75.8,0.7,59.76,27.87
"WindDirection_deg, deg",23,737264,998.2,0.166,30.7,304.01,42.4,11.81,16.52,2.53,2.41,226.4,3.5,39.057,-76.875,7.58,75.9,0.73,59.83,27.87
"WindSpeed_mps, mps",24,737265,997.6,0.171,30.7,304.06,42.4,11.82,16.52,2.6,2.49,226.3,3.6,39.057,-76.875,7.61,76.3,0.77,60.05,27.89
"Latitude_deg, deg",25,737266,997,0.177,30.6,304.01,42.5,11.78,16.47,2.6,2.49,226.3,3.6,39.057,-76.875,7.63,76.5,0.81,60.18,27.9
"Longitude_deg, deg",26,737267,996.3,0.183,30.6,304.07,42.6,11.82,16.5,2.6,2.49,226.3,3.6,39.057,-76.875,7.64,76.7,0.85,60.26,27.91
"Ozone_mPa, mPa",27,737268,995.7,0.189,30.5,304.02,42.8,11.81,16.49,2.67,2.56,226.3,3.7,39.057,-76.875,7.65,76.8,0.88,60.39,27.92
"Ozone_ppmv, ppmv",28,737269,995.1,0.194,30.5,304.08,42.9,11.85,16.52,2.68,2.55,226.4,3.7,39.057,-76.875,7.67,77.1,0.92,60.49,27.93
"intO3_DU, DU",29,737270,994.5,0.199,30.4,304.03,43,11.82,16.47,2.68,2.55,226.5,3.7,39.057,-76.875,7.68,77.2,0.95,60.57,27.94
"resO3_DU, DU",30,737271,994,0.204,30.4,304.07,43,11.82,16.47,2.77,2.61,226.7,3.8,39.057,-76.875,7.68,77.3,0.99,60.61,27.96
"PumpTemp_degC, degC",31,737272,993.4,0.209,30.3,304.03,43.1,11.79,16.42,2.77,2.6,226.9,3.8,39.057,-76.875,7.69,77.4,1.02,60.68,27.97
0,32,737273,992.8,0.214,30.3,304.08,43.2,11.82,16.45,2.78,2.59,227.1,3.8,39.057,-76.875,7.7,77.6,1.06,60.73,27.98
18,33,737274,992.2,0.22,30.2,304.03,43.4,11.82,16.44,2.87,2.64,227.4,3.9,39.057,-76.875,7.7,77.6,1.1,60.75,27.98
"PI_CONTACT_INFO: 7501 Muirkirk Rd, Beltsville, MD 20705, 301-419-9030; email: ricardo.k.sakai@Howard.edu",34,737275,991.6,0.226,30.2,304.08,43.6,11.88,16.51,2.88,2.62,227.7,3.9,39.057,-76.875,7.71,77.8,1.14,60.8,27.99
PLATFORM: Howard University - Beltsville,35,737276,991,0.231,30.1,304.04,43.7,11.84,16.45,2.9,2.61,228,3.9,39.057,-76.875,7.72,77.9,1.17,60.88,28
"LOCATION:  39.056, -76.876, 67 m",36,737277,990.4,0.236,30,303.99,43.9,11.84,16.43,2.99,2.66,228.3,4,39.057,-76.875,7.72,77.9,1.21,60.93,28.02
ASSOCIATED_DATA: N/A,37,737278,989.8,0.242,30,304.04,44,11.87,16.47,3.01,2.64,228.7,4,39.057,-76.875,7.72,78,1.25,60.95,28.03
"INSTRUMENT_INFO: contact Adrian Flores, quanta21@gmail.com",38,737279,989.2,0.247,29.9,303.99,44.2,11.87,16.45,3.02,2.62,229,4,39.057,-76.875,7.72,78,1.28,60.95,28.03
