Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737229,1010.9,0.052,21.4,293.64,91.5,14.55,19.96,-0,-0,0,0,39.056,-76.876,1.98,19.6,0,15.66,29.35
"Sakai, Ricardo K.",2,737231,1010.4,0.057,21.4,293.68,89.3,14.2,19.57,0.26,1.78,188.3,1.8,39.056,-76.876,2.1,20.8,0.01,16.6,29.34
Howard University - Beltsville,3,737232,1009.9,0.062,21.5,293.82,88.7,14.2,19.56,0.33,2.17,188.7,2.2,39.056,-76.876,2.12,21,0.02,16.7,29.31
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737233,1009.1,0.068,23.2,295.58,87.6,15.59,21.04,0.4,2.47,189.1,2.5,39.056,-76.876,2.13,21.1,0.03,16.79,29.26
OWLETS-II,5,737234,1008.4,0.074,23.4,295.84,85.9,15.48,20.92,0.43,2.56,189.6,2.6,39.056,-76.876,2.17,21.5,0.04,17.11,29.19
"1,1",6,737235,1007.8,0.08,23.5,295.99,84.5,15.33,20.75,0.47,2.66,190.1,2.7,39.056,-76.876,2.24,22.2,0.05,17.66,29.13
"2018, 06, 18, 2018, 08, 07",7,737236,1007.2,0.085,23.7,296.24,83.2,15.28,20.69,0.53,2.85,190.6,2.9,39.056,-76.876,2.32,23,0.06,18.31,29.06
1,8,737237,1006.7,0.089,23.9,296.48,82,15.25,20.65,0.57,2.94,191,3,39.057,-76.876,2.42,24,0.07,19.06,29.01
"Index_number, number",9,737238,1006.1,0.094,24,296.63,80.8,15.13,20.51,0.64,3.14,191.5,3.2,39.057,-76.876,2.52,25,0.08,19.9,28.98
19,10,737239,1005.6,0.099,24.1,296.78,79.7,15.02,20.39,0.69,3.23,192,3.3,39.057,-76.876,2.63,26.2,0.09,20.73,28.93
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737240,1005,0.104,24.2,296.93,78.5,14.89,20.24,0.76,3.42,192.5,3.5,39.057,-76.876,2.72,27.1,0.11,21.49,28.88
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,737241,1004.5,0.108,24.3,297.07,77.5,14.79,20.13,0.82,3.51,193.1,3.6,39.057,-76.876,2.83,28.2,0.12,22.31,28.83
"Seconds_UTC, s",13,737242,1003.9,0.114,24.4,297.22,76.5,14.7,20.02,0.9,3.69,193.7,3.8,39.057,-76.876,2.92,29.1,0.13,23.06,28.8
"Pressure_hPa, hPa",14,737243,1003.2,0.119,24.5,297.38,75.9,14.68,19.99,0.97,3.78,194.4,3.9,39.057,-76.876,3,29.9,0.15,23.7,28.77
"Altitude_km, km",15,737244,1002.5,0.125,24.5,297.44,75.5,14.61,19.9,1.04,3.86,195,4,39.057,-76.876,3.07,30.6,0.16,24.26,28.71
"Temp_degC, degC",16,737245,1001.8,0.132,24.6,297.6,75.3,14.67,19.96,1.11,3.95,195.7,4.1,39.057,-76.876,3.14,31.3,0.18,24.76,28.65
"Theta_K, K",17,737246,1001.2,0.137,24.6,297.65,75.2,14.66,19.94,1.21,4.13,196.4,4.3,39.057,-76.876,3.19,31.9,0.2,25.2,28.61
"RH_percent, percent",18,737247,1000.6,0.143,24.6,297.7,75,14.63,19.89,1.29,4.21,197,4.4,39.057,-76.876,3.24,32.4,0.21,25.57,28.59
"H2O_gpkg, gpkg",19,737248,1000,0.148,24.6,297.75,74.8,14.6,19.85,1.36,4.29,197.6,4.5,39.057,-76.876,3.32,33.2,0.23,26.2,28.59
"Frostpoint_degC, degC",20,737249,999.4,0.153,24.6,297.8,74.6,14.57,19.81,1.4,4.28,198.1,4.5,39.057,-76.876,3.42,34.2,0.24,27,28.59
"u_mps, mps",21,737250,998.7,0.159,24.6,297.86,74.3,14.52,19.74,1.47,4.36,198.7,4.6,39.057,-76.876,3.5,35,0.26,27.61,28.58
"v_mps, mps",22,737251,998,0.165,24.6,297.92,74.2,14.51,19.72,1.55,4.44,199.3,4.7,39.057,-76.876,3.56,35.7,0.28,28.08,28.57
"WindDirection_deg, deg",23,737252,997.3,0.172,24.5,297.88,74.1,14.41,19.6,1.65,4.51,200.1,4.8,39.057,-76.876,3.64,36.5,0.3,28.69,28.57
"WindSpeed_mps, mps",24,737253,996.5,0.179,24.5,297.95,74.1,14.42,19.6,1.74,4.58,200.8,4.9,39.057,-76.876,3.71,37.2,0.33,29.31,28.55
"Latitude_deg, deg",25,737254,995.7,0.185,24.5,298.02,74.1,14.43,19.6,1.84,4.65,201.6,5,39.057,-76.876,3.79,38.1,0.35,29.88,28.52
"Longitude_deg, deg",26,737255,995,0.192,24.5,298.08,74.1,14.44,19.6,1.94,4.72,202.4,5.1,39.057,-76.875,3.86,38.8,0.37,30.46,28.47
"Ozone_mPa, mPa",27,737256,994.3,0.198,24.4,298.04,74.2,14.39,19.53,2.01,4.69,203.2,5.1,39.057,-76.875,3.92,39.4,0.39,30.92,28.44
"Ozone_ppmv, ppmv",28,737257,993.6,0.204,24.4,298.1,74.2,14.4,19.53,2.12,4.75,204,5.2,39.057,-76.875,3.96,39.9,0.41,31.21,28.42
"intO3_DU, DU",29,737258,993,0.21,24.4,298.15,74.3,14.43,19.55,2.21,4.82,204.7,5.3,39.057,-76.875,4,40.3,0.43,31.55,28.41
