Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,72136,1015.97,0.004,29.33,29.43,301.111,58.94,20.468,47.97,1.758,7.1069,0.07,43.02,17,81,39.24224,-76.3628,0.009,NaN,NaN
"Sullivan, John T.",2,72137,1016.04,0.0034,29.5597,29.6597,301.3337,59.2217,20.7602,48.0499,1.758,7.10707,0.0699,43.02,17,81.0101,39.24224,-76.3628,0.009,NaN,NaN
NASA/GSFC,3,72138,1016.07,0.0031,29.5264,29.6264,301.2975,59.3936,20.7766,48.041,1.762,7.12377,0.0701,43.02,17,82,39.24224,-76.3628,0.009,NaN,NaN
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,72139,1015.99,0.0038,29.3599,29.4599,301.1388,59.5752,20.6697,48.088,1.7642,7.13285,0.0702,43.02,17,82,39.24224,-76.3628,0.009,0.1191,58.1068
OWLETS-2,5,72140,1016.02,0.0036,29.69,29.79,301.465,59.75,21.027,48.02,1.771,7.1613,0.0705,43.02,17,82,39.24224,-76.3628,0.009,0.09,90
"1,1",6,72141,1016,0.0037,30.0154,30.1154,301.7903,59.698,21.3171,48.0904,1.7769,7.18619,0.0707,43.02,17,81.98989,39.24224,-76.3628,0.009,0.0917,90.6048
"2018, 06, 30, 2019, 02, 28",7,72142,1016.05,0.0033,29.5533,29.6533,301.3264,59.5012,20.8311,48.1284,1.772,7.1655,0.0705,43.02,17,81,39.24224,-76.3628,0.009,0.2683,150.0979
1,8,72143,1016.05,0.0033,29.2268,29.3268,301.0017,59.5705,20.5439,48.0506,1.7721,7.16575,0.0705,43.02,17,81,39.24224,-76.3628,0.008,0.6869,162.3053
"Index_number, number",9,72144,1016.07,0.0031,29.12,29.22,300.893,59.92,20.539,48.07,1.774,7.1741,0.0706,43.03,17,81,39.24223,-76.3628,0.008,1.25,168.48
20,10,72145,1016.08,0.003,28.9,29,300.673,59.81,20.303,48.09,1.77,7.1589,0.0705,43.1,17,82,39.24223,-76.3628,0.008,1.25,168.48
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,72146,1015.99,0.0038,28.9627,29.0627,300.7438,59.9021,20.3861,48.0999,1.766,7.14367,0.0703,43.17,17,82,39.24223,-76.3628,0.008,1.5436,173.9783
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,72147,1015.92,0.0044,29.2367,29.3367,301.0226,60.1126,20.7,48.0902,1.7632,7.13188,0.0702,43.17,17,81.9798,39.24223,-76.3628,0.007,1.9123,174.8393
"Seconds_UTC, s",13,72148,1015.95,0.0042,29.5612,29.6612,301.343,60.2426,21.0398,48.1,1.7709,7.16446,0.0705,43.17,17,81,39.24223,-76.3628,0.007,2.5152,177.3107
"Pressure_hPa, hPa",14,72149,1016,0.0037,29.6,29.7,301.377,60.33,21.099,48.1,1.769,7.1563,0.0704,43.17,17,81,39.24223,-76.3628,0.007,2.69,180
"Altitude_km, km",15,72150,1015.99,0.0038,29.6213,29.7213,301.3993,60.5406,21.1764,48.1,1.757,7.10597,0.0699,43.17,17,81,39.24223,-76.3628,0.007,2.69,177.78
"Temp_degC, degC",16,72151,1016.01,0.0036,29.7544,29.8544,301.5305,60.5982,21.3166,48.1,1.754,7.09333,0.0698,43.17,17,81.0198,39.24223,-76.3628,0.007,2.6928,177.7317
"RawTemp_degC, degC",17,72152,1015.89,0.0047,29.9699,30.0699,301.7549,60.5091,21.4947,48.1001,1.7519,7.08485,0.0697,43.17,17,81.98989,39.24224,-76.3628,0.007,2.8334,175.3334
"Theta_K, K",18,72153,1015.94,0.0043,29.9665,30.0665,301.7473,60.4208,21.4673,48.1108,1.7471,7.06474,0.0695,43.17,17,81,39.24223,-76.3628,0.0081,3.1736,174.6781
"RH_percent, percent",19,72154,1015.99,0.0038,30.2836,30.3836,302.0589,60.4512,21.773,48.1503,1.8022,7.29513,0.0718,43.17,17,80.9697,39.24223,-76.3628,0.0132,3.3536,174.1
"Frostpoint_degC, degC",20,72155,1015.88,0.0048,30.3845,30.4845,302.1683,60.1758,21.793,48.1616,1.8065,7.31345,0.072,43.17,17,80,39.24224,-76.3629,0.0203,3.4848,174.1074
"InternalTemp_degC, degC",21,72156,1015.66,0.0067,29.9964,30.0964,301.8008,60.3192,21.4684,48.1993,1.7947,7.2638,0.0715,43.17,17,80,39.24228,-76.3629,0.0271,3.853,174.2754
"Ozonecurrent_uA, uA",22,72157,1015.17,0.0111,29.624,29.724,301.4709,60.2257,21.0932,48.1308,1.7624,7.12878,0.0702,43.17,17,80,39.24236,-76.3629,0.0332,4.1546,172.8412
"Ozone_mPa, mPa",23,72158,1014.69,0.0152,28.8433,28.9433,300.7348,59.3912,20.1348,48.17,1.7824,7.21233,0.0711,43.17,17,80,39.24245,-76.3629,0.0412,4.3812,172.8691
"Ozone_ppmv, ppmv",24,72159,1014.13,0.0202,28.6335,28.7335,300.5735,54.9242,18.6837,48.1692,1.7617,7.12555,0.0703,43.18,17,80,39.24251,-76.3629,0.0483,4.4346,171.8881
"PumpTemp_degC, degC",25,72160,1013.5,0.0257,28.72,28.82,300.712,54.28,18.576,48.15,1.753,7.0893,0.0699,43.18,17,80,39.24257,-76.3629,0.056,4.8,172.09
"OzoneBattery_V, V",26,72161,1012.86,0.0314,29.021,29.121,301.0667,51.3922,17.9821,48.2396,1.7429,7.04729,0.0696,43.18,17,80,39.24263,-76.3628,0.0621,4.9412,171.9993
"PumpCurrent_mA, mA",27,72162,1012.08,0.0382,29.124,29.224,301.2351,48.6712,17.215,48.2,1.7382,7.02734,0.0694,43.18,17,80.02,39.24269,-76.3628,0.0671,5.0668,173.8844
"Latitude_deg, deg",28,72163,1011.44,0.0439,29.3214,29.4214,301.4862,48.7363,17.4163,48.1996,1.7484,7.07018,0.0699,43.18,17,81,39.24274,-76.3628,0.0721,5.402,173.5916
"Longitude_deg, deg",29,72164,1010.95,0.0481,29.3894,29.4894,301.5957,49.0473,17.5788,48.1824,1.7699,7.16008,0.0708,43.18,17,81,39.24279,-76.3628,0.0762,5.5058,172.7
"GPSAltitude_km, km",30,72165,1010.43,0.0528,29.3708,29.4708,301.6216,49.2835,17.6378,48.2604,1.7983,7.2791,0.072,43.18,17,81,39.24283,-76.3628,0.0822,5.7016,172.7365
"WindSpeed_mps, mps",31,72166,1009.88,0.0575,29.3899,29.4899,301.6874,49.371,17.6832,48.2691,1.806,7.31134,0.0724,43.18,17,81,39.24287,-76.3628,0.0871,5.9891,173.6298
