Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737243,1010.57,0.052,22.75,295.01,96,16.62,22.08,0,0,0,0,39.056,-76.876,0.38,3.8,0,3.03,299.18
"Sakai, Ricardo K.",2,737245,1010.12,0.056,22.65,294.95,86.69,14.9,20.33,0.63,0.59,227.03,0.87,39.056,-76.876,0.39,3.8,0,3.05,299.19
Howard University - Beltsville,3,737246,1009.63,0.06,23.02,295.35,88.76,15.61,21.07,0.83,0.77,227.34,1.13,39.056,-76.876,0.39,3.9,0,3.07,299.2
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737247,1008.98,0.066,23.8,296.19,90.23,16.67,22.11,0.95,0.87,227.68,1.29,39.056,-76.876,0.39,3.9,0.01,3.09,299.2
OWLETS-II,5,737248,1008.25,0.072,24.66,297.12,90.22,17.58,22.96,1.04,0.94,228.06,1.4,39.056,-76.876,0.39,3.9,0.01,3.1,299.21
"1,1",6,737249,1007.52,0.079,25.29,297.8,89.23,18.07,23.39,1.13,1,228.43,1.51,39.056,-76.876,0.41,4.1,0.01,3.22,299.21
"2018, 07, 02, 2018, 08, 07",7,737250,1006.79,0.085,25.66,298.23,88.17,18.27,23.57,1.23,1.08,228.78,1.64,39.056,-76.876,0.44,4.3,0.01,3.45,299.22
1,8,737251,1006.04,0.092,25.91,298.55,87.57,18.44,23.7,1.34,1.16,229.08,1.78,39.056,-76.876,0.47,4.7,0.02,3.72,299.22
"Index_number, number",9,737252,1005.28,0.099,26.08,298.78,87.35,18.59,23.83,1.46,1.25,229.35,1.92,39.056,-76.876,0.51,5.1,0.02,4.04,299.23
19,10,737253,1004.54,0.105,26.17,298.93,87.12,18.65,23.86,1.58,1.34,229.6,2.07,39.056,-76.876,0.54,5.4,0.02,4.28,299.23
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737254,1003.86,0.111,26.2,299.02,86.66,18.61,23.81,1.7,1.43,229.81,2.22,39.056,-76.876,0.61,6.1,0.03,4.8,299.24
