Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737245,1014.17,0.052,35.67,307.58,52.2,19.05,24.4,-0.57,-1.17,26,1.3,39.056,-76.876,8.27,81.5,0.02,65.24,308.79
"Sakai, Ricardo K.",2,737245,1013.83,0.055,34.34,306.28,50.48,17.08,22.62,-0.1,0.55,169.93,0.56,39.056,-76.876,8.27,81.6,0.06,65.24,308.8
Howard University - Beltsville,3,737246,1013.18,0.061,34.23,306.23,49.14,16.53,22.09,0.02,1.1,181.15,1.1,39.056,-76.876,8.27,81.6,0.11,65.24,308.81
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737247,1012.43,0.068,34.13,306.19,49.11,16.44,21.98,0.06,1.39,182.54,1.39,39.056,-76.876,8.27,81.7,0.17,65.29,308.82
OWLETS-II,5,737248,1011.6,0.075,34.02,306.16,49.49,16.48,22.01,0.05,1.52,181.96,1.52,39.056,-76.876,8.27,81.8,0.22,65.29,308.82
"1,1",6,737249,1010.77,0.083,33.91,306.12,49.7,16.46,21.97,0.02,1.59,180.83,1.59,39.056,-76.876,8.27,81.9,0.27,65.29,308.82
"2018, 07, 03, 2018, 08, 07",7,737250,1009.98,0.09,33.8,306.08,49.78,16.4,21.9,-0.01,1.64,179.5,1.64,39.056,-76.876,8.28,81.9,0.32,65.29,308.83
1,8,737251,1009.23,0.097,33.7,306.04,49.91,16.36,21.85,-0.04,1.72,178.52,1.73,39.056,-76.876,8.28,82,0.37,65.29,308.83
"Index_number, number",9,737252,1008.47,0.103,33.57,305.98,50.04,16.29,21.77,-0.08,1.81,177.53,1.81,39.057,-76.876,8.28,82.1,0.42,65.29,308.83
19,10,737253,1007.69,0.11,33.4,305.88,49.88,16.1,21.56,-0.11,1.88,176.51,1.88,39.057,-76.876,8.29,82.3,0.47,65.44,308.83
