Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737244,1010.35,0.052,36.26,308.5,44.9,16.95,22.45,0.03,-0.6,357,0.6,39.056,-76.876,6.83,67.6,0.02,53.88,304.33
"Sakai, Ricardo K.",2,737245,1009.9,0.056,34.31,306.59,42.51,14.38,19.8,-0.95,1.61,149.55,1.87,39.056,-76.876,6.92,68.5,0.05,54.62,304.34
Howard University - Beltsville,3,737246,1009.45,0.06,34.15,306.48,41.8,14.02,19.39,-1.18,2.14,151.24,2.44,39.056,-76.876,6.92,68.6,0.08,54.62,304.35
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737247,1008.86,0.066,33.99,306.36,41.36,13.75,19.07,-1.26,2.36,151.87,2.67,39.057,-76.876,6.92,68.6,0.12,54.62,304.36
OWLETS-II,5,737248,1008.19,0.072,33.83,306.27,41.17,13.57,18.86,-1.29,2.45,152.27,2.77,39.057,-76.876,6.92,68.7,0.15,54.62,304.36
"1,1",6,737249,1007.51,0.078,33.71,306.21,41.3,13.53,18.81,-1.31,2.53,152.66,2.85,39.057,-76.876,6.92,68.7,0.19,54.63,304.36
"2018, 07, 02, 2018, 08, 07",7,737250,1006.84,0.084,33.63,306.18,41.57,13.57,18.83,-1.33,2.62,153.06,2.94,39.057,-76.876,6.92,68.8,0.23,54.63,304.36
1,8,737251,1006.19,0.09,33.56,306.17,41.84,13.61,18.88,-1.37,2.74,153.47,3.06,39.057,-76.876,6.92,68.8,0.26,54.63,304.36
"Index_number, number",9,737252,1005.52,0.096,33.5,306.17,42.09,13.66,18.92,-1.4,2.84,153.85,3.17,39.057,-76.876,6.92,68.9,0.3,54.63,304.36
19,10,737253,1004.8,0.102,33.44,306.17,42.35,13.71,18.96,-1.42,2.94,154.21,3.27,39.057,-76.876,6.93,68.9,0.34,54.64,304.36
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737254,1004.04,0.109,33.38,306.18,42.59,13.75,19,-1.44,3.03,154.56,3.36,39.057,-76.876,6.97,69.4,0.38,54.95,304.36
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,737255,1003.29,0.116,33.33,306.19,42.79,13.78,19.03,-1.46,3.12,154.88,3.44,39.057,-76.876,6.98,69.6,0.42,55.06,304.35
"Seconds_UTC, s",13,737256,1002.58,0.122,33.29,306.22,42.94,13.81,19.05,-1.48,3.19,155.17,3.51,39.057,-76.876,6.98,69.6,0.46,55.09,304.35
"Pressure_hPa, hPa",14,737257,1001.93,0.128,33.26,306.24,43.04,13.84,19.06,-1.49,3.25,155.44,3.58,39.057,-76.876,6.99,69.7,0.49,55.12,304.35
"Altitude_km, km",15,737258,1001.34,0.133,33.23,306.27,43.12,13.85,19.06,-1.49,3.31,155.69,3.63,39.057,-76.876,6.99,69.8,0.52,55.14,304.35
"Temp_degC, degC",16,737259,1000.74,0.139,33.19,306.28,43.18,13.84,19.05,-1.5,3.35,155.92,3.67,39.057,-76.876,7.02,70.1,0.56,55.38,304.35
"Theta_K, K",17,737260,1000.11,0.145,33.14,306.28,43.27,13.84,19.04,-1.5,3.39,156.14,3.71,39.057,-76.876,7.04,70.4,0.6,55.55,304.35
"RH_percent, percent",18,737261,999.44,0.151,33.08,306.28,43.39,13.84,19.03,-1.5,3.42,156.35,3.74,39.057,-76.876,7.08,70.8,0.63,55.84,304.35
"H2O_gpkg, gpkg",19,737262,998.76,0.157,33,306.26,43.54,13.84,19.01,-1.5,3.45,156.55,3.76,39.057,-76.876,7.09,71,0.67,55.91,304.35
"Frostpoint_degC, degC",20,737263,998.03,0.163,32.93,306.25,43.7,13.84,19,-1.49,3.46,156.73,3.77,39.057,-76.876,7.09,71.1,0.72,55.96,304.35
"u_mps, mps",21,737264,997.3,0.17,32.87,306.25,43.87,13.86,19.01,-1.48,3.48,156.89,3.78,39.057,-76.876,7.11,71.3,0.76,56.07,304.35
"v_mps, mps",22,737265,996.58,0.176,32.81,306.26,44.05,13.88,19.03,-1.48,3.48,157.04,3.78,39.057,-76.876,7.12,71.4,0.8,56.16,304.36
"WindDirection_deg, deg",23,737266,995.87,0.183,32.75,306.27,44.24,13.9,19.04,-1.47,3.49,157.19,3.78,39.057,-76.876,7.12,71.5,0.84,56.16,304.36
"WindSpeed_mps, mps",24,737267,995.12,0.19,32.68,306.26,44.42,13.91,19.04,-1.46,3.49,157.33,3.78,39.057,-76.876,7.11,71.4,0.88,56.07,304.36
"Latitude_deg, deg",25,737268,994.35,0.197,32.6,306.24,44.58,13.91,19.02,-1.45,3.49,157.47,3.77,39.057,-76.876,7.12,71.6,0.92,56.16,304.36
"Longitude_deg, deg",26,737269,993.62,0.203,32.53,306.24,44.7,13.9,19,-1.44,3.48,157.6,3.77,39.057,-76.876,7.13,71.7,0.96,56.24,304.37
"Ozone_mPa, mPa",27,737270,992.94,0.209,32.47,306.24,44.8,13.9,18.99,-1.43,3.48,157.74,3.76,39.057,-76.876,7.13,71.9,1,56.29,304.37
"Ozone_ppmv, ppmv",28,737271,992.29,0.215,32.42,306.25,44.9,13.9,18.98,-1.41,3.48,157.88,3.76,39.057,-76.876,7.14,71.9,1.04,56.31,304.38
