Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"H2O_gpkg, gpkg",19,737248,1000.5,0.127,30.7,303.81,52.8,14.71,20.01,3.36,2.17,237.2,4,39.057,-76.875,8.14,81.4,0.52,64.22,36.43
"Frostpoint_degC, degC",20,737249,1000.1,0.13,30.6,303.74,52.9,14.66,19.94,3.4,2.1,238.3,4,39.057,-76.875,8.15,81.5,0.55,64.3,36.43
"u_mps, mps",21,737250,999.7,0.134,30.6,303.78,52.9,14.67,19.94,3.53,2.08,239.5,4.1,39.057,-76.875,8.16,81.6,0.57,64.36,36.43
"v_mps, mps",22,737251,999.3,0.138,30.6,303.81,52.9,14.67,19.94,3.57,2.01,240.6,4.1,39.057,-76.875,8.18,81.9,0.6,64.51,36.42
"WindDirection_deg, deg",23,737252,998.8,0.142,30.5,303.75,53,14.62,19.88,3.61,1.94,241.7,4.1,39.057,-76.875,8.2,82.1,0.63,64.66,36.42
"WindSpeed_mps, mps",24,737253,998.3,0.146,30.5,303.8,53.1,14.66,19.91,3.65,1.87,242.8,4.1,39.057,-76.875,8.2,82.1,0.66,64.7,36.41
"Latitude_deg, deg",25,737254,997.9,0.15,30.5,303.83,53.2,14.69,19.94,3.59,1.76,243.9,4,39.057,-76.875,8.2,82.2,0.69,64.74,36.41
"Longitude_deg, deg",26,737255,997.5,0.153,30.4,303.77,53.3,14.64,19.88,3.62,1.7,244.9,4,39.057,-76.875,8.21,82.3,0.71,64.76,36.4
"Ozone_mPa, mPa",27,737256,997.1,0.158,30.4,303.8,53.5,14.7,19.94,3.56,1.59,246,3.9,39.057,-76.875,8.22,82.4,0.74,64.84,36.4
"Ozone_ppmv, ppmv",28,737257,996.6,0.162,30.4,303.85,53.6,14.74,19.97,3.59,1.52,247,3.9,39.057,-76.875,8.23,82.6,0.77,64.93,36.4
"intO3_DU, DU",29,737258,996.1,0.166,30.3,303.79,53.7,14.69,19.91,3.52,1.43,247.9,3.8,39.057,-76.875,8.25,82.8,0.8,65.09,36.4
"resO3_DU, DU",30,737259,995.7,0.17,30.3,303.82,53.7,14.7,19.91,3.45,1.34,248.8,3.7,39.057,-76.875,8.26,83,0.83,65.2,36.4
"PumpTemp_degC, degC",31,737260,995.3,0.174,30.3,303.86,53.8,14.73,19.94,3.38,1.25,249.7,3.6,39.057,-76.875,8.28,83.2,0.86,65.34,36.4
0,32,737261,994.8,0.178,30.2,303.8,53.9,14.68,19.87,3.3,1.17,250.5,3.5,39.057,-76.875,8.3,83.4,0.89,65.47,36.39
18,33,737262,994.3,0.183,30.2,303.85,54,14.71,19.9,3.31,1.13,251.2,3.5,39.057,-76.875,8.3,83.5,0.92,65.49,36.38
"PI_CONTACT_INFO: 7501 Muirkirk Rd, Beltsville, MD 20705, 301-419-9030; email: ricardo.k.sakai@Howard.edu",34,737263,993.7,0.188,30.1,303.8,54.2,14.69,19.87,3.23,1.05,252,3.4,39.057,-76.875,8.3,83.5,0.96,65.49,36.38
PLATFORM: Howard University - Beltsville,35,737264,993.1,0.193,30.1,303.85,54.4,14.76,19.93,3.15,0.99,252.6,3.3,39.057,-76.875,8.3,83.6,1,65.49,36.38
"LOCATION:  39.056, -76.876, 67 m",36,737265,992.5,0.199,30,303.8,54.7,14.76,19.93,3.06,0.92,253.2,3.2,39.057,-76.874,8.3,83.6,1.04,65.49,36.38
ASSOCIATED_DATA: N/A,37,737266,991.9,0.204,29.9,303.76,54.9,14.74,19.89,2.98,0.86,253.8,3.1,39.057,-76.874,8.3,83.7,1.08,65.46,36.37
"INSTRUMENT_INFO: contact Adrian Flores, quanta21@gmail.com",38,737267,991.4,0.209,29.9,303.8,55.1,14.8,19.95,2.89,0.82,254.2,3,39.057,-76.874,8.28,83.5,1.11,65.34,36.37
DATA_INFO:  All data 1 Hz interval,39,737268,990.9,0.213,29.9,303.84,55.2,14.84,19.98,2.8,0.77,254.6,2.9,39.057,-76.874,8.27,83.5,1.15,65.26,36.36
"UNCERTAINTY:  10%, See Smit et al., JGR, 2007 for more details",40,737269,990.4,0.218,29.9,303.89,55.3,14.87,20.01,2.7,0.72,255,2.8,39.057,-76.875,8.27,83.5,1.18,65.26,36.34
ULOD_FLAG: -77777,41,737270,990,0.221,29.9,303.92,55.3,14.88,20.01,2.61,0.69,255.2,2.7,39.057,-76.875,8.27,83.5,1.21,65.26,36.34
ULOD_VALUE: N/A,42,737271,989.6,0.225,29.9,303.96,55.1,14.83,19.95,2.51,0.66,255.3,2.6,39.057,-76.875,8.27,83.6,1.23,65.26,36.33
LLOD_FLAG: -88888,43,737272,989.2,0.229,29.9,303.99,54.9,14.78,19.89,2.42,0.63,255.3,2.5,39.057,-76.875,8.29,83.8,1.26,65.38,36.32
LLOD_VALUE: N/A,44,737273,988.7,0.233,29.8,303.94,55,14.73,19.83,2.32,0.62,255.1,2.4,39.057,-76.875,8.31,84,1.29,65.55,36.3
"DM_CONTACT_INFO:  Adrian Flores, email: quanta21@gmail.com",45,737274,988.2,0.237,29.8,303.98,55.1,14.76,19.86,2.32,0.63,254.8,2.4,39.057,-76.874,8.32,84.2,1.32,65.64,36.3
"PROJECT_INFO:  NASA OWLETS-II; 06 June-06 July 2018; University of Howard, Beltsville Campus, Beltsville, Maryland, United States of America; https://www-air.larc.nasa.gov/missions/owlets/index.html",46,737275,987.7,0.242,29.7,303.92,55.3,14.74,19.82,2.21,0.62,254.3,2.3,39.057,-76.874,8.32,84.2,1.36,65.65,36.28
STIPULATIONS_ON_USE:  Use of these data requires prior approval from Ricardo Sakai (ricardo.k.sakai@Howard.edu,47,737276,987.2,0.246,29.7,303.97,55.5,14.8,19.88,2.21,0.65,253.6,2.3,39.057,-76.874,8.32,84.3,1.39,65.67,36.27
OTHER_COMMENTS: Launch Time: 2018-06-18 17:29:55,48,737277,986.7,0.251,29.6,303.91,55.7,14.78,19.85,2.1,0.65,252.7,2.2,39.057,-76.874,8.33,84.4,1.43,65.69,36.27
REVISION: RA,49,737278,986.1,0.257,29.6,303.96,55.8,14.81,19.88,2.09,0.69,251.6,2.2,39.057,-76.874,8.32,84.4,1.47,65.64,36.26
"RA: These data are interpolated to 1Hz and include a pressure correction described in Stauffer et al. (2014, AMT)",50,737279,985.5,0.262,29.5,303.92,55.9,14.76,19.81,1.98,0.71,250.3,2.1,39.057,-76.874,8.31,84.3,1.5,65.59,36.25
"Index_number, Seconds_UTC, Pressure_hPa, Altitude_km, Temp_degC, Theta_K, RH_percent, H2O_gpkg, Frostpoint_degC, u_mps, v_mps,  WindDirection_deg, WindSpeed_mps,  Latitude_deg, Longitude_deg, Ozone_mPa, Ozone_ppmv, intO3_DU, resO3_DU, PumpTemp_degC",51,737280,984.9,0.267,29.5,303.97,56,14.8,19.84,1.96,0.76,248.7,2.1,39.057,-76.874,8.31,84.4,1.54,65.58,36.23
,52,737281,984.3,0.273,29.4,303.92,56.2,14.77,19.8,1.93,0.83,246.8,2.1,39.057,-76.874,8.31,84.4,1.58,65.54,36.22
,53,737282,983.8,0.278,29.3,303.87,56.3,14.72,19.74,1.9,0.89,244.8,2.1,39.057,-76.874,8.27,84.1,1.62,65.24,36.21
,54,737283,983.3,0.282,29.3,303.91,56.5,14.78,19.8,1.87,0.96,242.7,2.1,39.057,-76.874,8.24,83.8,1.65,64.97,36.21
,55,737284,982.8,0.286,29.2,303.85,56.6,14.73,19.73,1.83,1.03,240.5,2.1,39.057,-76.874,8.23,83.7,1.68,64.93,36.2
,56,737285,982.4,0.29,29.2,303.89,56.8,14.79,19.79,1.87,1.16,238.3,2.2,39.057,-76.874,8.23,83.8,1.71,64.93,36.19
,57,737286,981.9,0.294,29.1,303.83,56.9,14.74,19.72,1.91,1.28,236.2,2.3,39.057,-76.874,8.22,83.7,1.74,64.87,36.18
,58,737287,981.4,0.299,29.1,303.88,57.2,14.82,19.81,1.87,1.35,234.2,2.3,39.057,-76.874,8.22,83.8,1.78,64.82,36.17
,59,737288,980.9,0.304,29,303.82,57.4,14.8,19.77,1.9,1.47,232.3,2.4,39.057,-76.874,8.21,83.7,1.81,64.81,36.16
,60,737289,980.4,0.309,29,303.87,57.7,14.88,19.85,1.93,1.58,230.7,2.5,39.057,-76.874,8.2,83.6,1.84,64.73,36.15
,61,737290,979.9,0.313,28.9,303.81,57.9,14.85,19.82,1.97,1.7,229.3,2.6,39.057,-76.874,8.19,83.6,1.88,64.63,36.15
,62,737291,979.4,0.317,28.9,303.85,57.9,14.86,19.82,2.01,1.8,228.2,2.7,39.057,-76.874,8.18,83.5,1.91,64.56,36.13
,63,737292,978.9,0.322,28.9,303.9,57.9,14.87,19.82,2.13,1.97,227.3,2.9,39.057,-76.874,8.18,83.6,1.94,64.53,36.13
,64,737293,978.4,0.326,28.9,303.94,57.9,14.88,19.82,2.18,2.06,226.7,3,39.057,-76.874,8.18,83.6,1.97,64.51,36.12
,65,737294,977.9,0.331,28.8,303.89,58,14.82,19.75,2.24,2.14,226.3,3.1,39.057,-76.874,8.17,83.5,2.01,64.48,36.11
,66,737295,977.3,0.336,28.7,303.84,58.2,14.8,19.71,2.38,2.28,226.2,3.3,39.057,-76.874,8.17,83.6,2.04,64.46,36.1
,67,737296,976.8,0.341,28.6,303.78,58.5,14.8,19.7,2.46,2.35,226.3,3.4,39.057,-76.874,8.17,83.6,2.08,64.44,36.09
,68,737297,976.3,0.345,28.6,303.83,58.8,14.88,19.78,2.62,2.47,226.7,3.6,39.057,-76.874,8.17,83.7,2.11,64.44,36.08
,69,737298,975.8,0.35,28.6,303.87,59,14.94,19.84,2.71,2.51,227.2,3.7,39.057,-76.874,8.17,83.7,2.14,64.44,36.08
,70,737299,975.4,0.354,28.5,303.81,59.1,14.88,19.77,2.9,2.61,228,3.9,39.057,-76.874,8.17,83.8,2.17,64.44,36.07
,71,737300,974.9,0.358,28.5,303.85,59.2,14.92,19.8,3.01,2.63,228.9,4,39.057,-76.874,8.17,83.8,2.2,64.44,36.07
,72,737301,974.4,0.363,28.5,303.9,59.3,14.95,19.83,3.14,2.64,230,4.1,39.057,-76.874,8.17,83.8,2.23,64.43,36.06
,73,737302,974,0.367,28.4,303.83,59.4,14.89,19.76,3.27,2.63,231.2,4.2,39.057,-76.874,8.17,83.9,2.27,64.43,36.05
,74,737303,973.5,0.371,28.4,303.88,59.5,14.93,19.79,3.49,2.68,232.5,4.4,39.058,-76.874,8.17,83.9,2.29,64.43,36.05
,75,737304,973.1,0.374,28.3,303.81,59.6,14.87,19.72,3.64,2.65,233.9,4.5,39.058,-76.874,8.17,84,2.32,64.47,36.04
,76,737305,972.8,0.378,28.3,303.84,59.7,14.9,19.75,3.79,2.61,235.4,4.6,39.058,-76.874,8.2,84.3,2.34,64.68,36.03
,77,737306,972.4,0.381,28.3,303.87,59.7,14.91,19.75,3.94,2.56,237,4.7,39.058,-76.874,8.22,84.5,2.37,64.82,36.01
,78,737307,972,0.385,28.2,303.81,59.8,14.85,19.68,4.01,2.45,238.6,4.7,39.058,-76.874,8.22,84.6,2.39,64.84,36
,79,737308,971.6,0.388,28.2,303.84,60,14.91,19.73,4.17,2.39,240.2,4.8,39.058,-76.874,8.23,84.7,2.42,64.91,36
,80,737309,971.2,0.393,28.1,303.78,60.1,14.85,19.67,4.31,2.32,241.7,4.9,39.058,-76.873,8.23,84.7,2.45,64.97,36
,81,737310,970.7,0.397,28.1,303.82,60.2,14.88,19.69,4.47,2.25,243.3,5,39.058,-76.873,8.24,84.9,2.48,64.98,35.99
,82,737311,970.2,0.401,28.1,303.87,60.3,14.92,19.72,4.52,2.13,244.8,5,39.058,-76.873,8.24,84.9,2.52,64.99,35.98
,83,737312,969.8,0.405,28,303.8,60.4,14.86,19.65,4.67,2.05,246.3,5.1,39.058,-76.873,8.24,85,2.55,64.98,35.98
,84,737313,969.3,0.409,28,303.85,60.4,14.87,19.65,4.72,1.94,247.7,5.1,39.058,-76.873,8.24,85,2.58,64.98,35.97
,85,737314,968.9,0.413,28,303.88,60.5,14.9,19.68,4.76,1.82,249.1,5.1,39.058,-76.873,8.24,85,2.6,64.99,35.96
,86,737315,968.5,0.417,27.9,303.82,60.7,14.87,19.64,4.9,1.75,250.3,5.2,39.058,-76.873,8.24,85.1,2.63,64.99,35.96
,87,737316,968,0.421,27.9,303.86,60.8,14.9,19.66,4.93,1.66,251.4,5.2,39.058,-76.873,8.24,85.1,2.66,64.99,35.96
,88,737317,967.6,0.425,27.9,303.9,60.9,14.93,19.69,4.96,1.56,252.5,5.2,39.058,-76.873,8.24,85.2,2.69,64.99,35.96
,89,737318,967.1,0.43,27.8,303.84,61,14.88,19.62,4.98,1.49,253.3,5.2,39.058,-76.873,8.23,85.1,2.72,64.96,35.96
,90,737319,966.7,0.434,27.8,303.88,61.1,14.91,19.65,5,1.43,254,5.2,39.058,-76.873,8.23,85.1,2.75,64.9,35.95
,91,737320,966.2,0.438,27.7,303.82,61.2,14.85,19.58,5.01,1.38,254.6,5.2,39.058,-76.873,8.21,85,2.78,64.8,35.95
,92,737321,965.8,0.442,27.7,303.86,61.4,14.91,19.63,5.02,1.35,255,5.2,39.058,-76.873,8.2,84.9,2.81,64.71,35.94
,93,737322,965.3,0.446,27.7,303.9,61.5,14.94,19.66,4.93,1.29,255.3,5.1,39.058,-76.873,8.2,84.9,2.85,64.69,35.94
,94,737323,964.8,0.451,27.6,303.85,61.6,14.88,19.59,4.94,1.29,255.4,5.1,39.058,-76.873,8.2,85,2.88,64.69,35.94
,95,737324,964.4,0.455,27.6,303.88,61.7,14.91,19.62,4.94,1.29,255.4,5.1,39.058,-76.873,8.2,85,2.91,64.69,35.94
,96,737325,964,0.459,27.5,303.82,61.8,14.86,19.55,4.84,1.27,255.3,5,39.058,-76.873,8.2,85.1,2.94,64.72,35.94
,97,737326,963.6,0.462,27.5,303.86,61.9,14.89,19.58,4.83,1.29,255,5,39.058,-76.872,8.21,85.2,2.96,64.8,35.94
,98,737327,963.2,0.466,27.4,303.79,62,14.83,19.51,4.72,1.3,254.6,4.9,39.058,-76.872,8.22,85.3,2.99,64.84,35.94
,99,737328,962.8,0.469,27.4,303.83,62.1,14.86,19.53,4.61,1.32,254,4.8,39.058,-76.872,8.22,85.4,3.01,64.89,35.94
,100,737329,962.3,0.474,27.4,303.87,62.2,14.89,19.56,4.6,1.38,253.3,4.8,39.058,-76.872,8.25,85.7,3.05,65.11,35.94
,101,737330,961.8,0.479,27.3,303.82,62.4,14.86,19.52,4.48,1.41,252.6,4.7,39.058,-76.872,8.27,86,3.08,65.25,35.94
,102,737331,961.3,0.483,27.3,303.86,62.5,14.89,19.54,4.37,1.44,251.7,4.6,39.058,-76.872,8.27,86,3.11,65.28,35.94
,103,737332,960.8,0.488,27.3,303.91,62.6,14.92,19.57,4.34,1.52,250.7,4.6,39.058,-76.872,8.28,86.2,3.15,65.29,35.94
,104,737333,960.3,0.493,27.2,303.85,62.8,14.89,19.52,4.22,1.56,249.7,4.5,39.058,-76.872,8.28,86.2,3.18,65.3,35.94
,105,737334,959.7,0.498,27.2,303.9,62.9,14.92,19.55,4.1,1.6,248.7,4.4,39.058,-76.872,8.28,86.3,3.22,65.3,35.94
,106,737335,959.1,0.504,27.1,303.86,63.1,14.89,19.51,4.07,1.68,247.6,4.4,39.058,-76.872,8.28,86.3,3.27,65.3,35.94
,107,737336,958.4,0.51,27,303.82,63.2,14.84,19.44,3.94,1.72,246.4,4.3,39.058,-76.872,8.28,86.4,3.31,65.3,35.94
,108,737337,957.7,0.517,27,303.88,63.3,14.87,19.46,3.82,1.76,245.3,4.2,39.058,-76.872,8.28,86.5,3.36,65.3,35.93
,109,737338,956.9,0.524,26.9,303.85,63.5,14.85,19.42,3.78,1.83,244.2,4.2,39.058,-76.872,8.27,86.4,3.41,65.25,35.93
,110,737339,956.2,0.531,26.9,303.92,63.6,14.88,19.44,3.66,1.85,243.1,4.1,39.058,-76.872,8.25,86.3,3.46,65.1,35.91
,111,737340,955.5,0.537,26.8,303.88,63.8,14.85,19.4,3.53,1.88,242,4,39.058,-76.872,8.24,86.2,3.51,65.01,35.9
,112,737341,954.9,0.543,26.7,303.83,63.9,14.79,19.33,3.5,1.94,241,4,39.058,-76.872,8.24,86.3,3.55,65.01,35.89
,113,737342,954.3,0.548,26.7,303.89,64,14.83,19.36,3.38,1.95,240,3.9,39.058,-76.872,8.23,86.2,3.59,64.96,35.88
,114,737343,953.8,0.553,26.6,303.83,64.1,14.77,19.29,3.34,2.01,239,3.9,39.058,-76.872,8.23,86.3,3.63,64.92,35.87
,115,737344,953.2,0.558,26.6,303.89,64.3,14.83,19.34,3.23,2.01,238.1,3.8,39.058,-76.872,8.22,86.2,3.67,64.85,35.85
,116,737345,952.7,0.563,26.5,303.83,64.6,14.82,19.32,3.2,2.05,237.3,3.8,39.058,-76.872,8.21,86.2,3.7,64.77,35.84
,117,737346,952,0.569,26.5,303.9,64.9,14.9,19.39,3.09,2.04,236.6,3.7,39.058,-76.872,8.22,86.3,3.75,64.84,35.84
,118,737347,951.4,0.575,26.4,303.85,65.1,14.86,19.34,3.07,2.07,236,3.7,39.058,-76.871,8.23,86.5,3.79,64.91,35.82
,119,737348,950.7,0.582,26.3,303.81,65.3,14.83,19.3,3.05,2.1,235.5,3.7,39.058,-76.871,8.23,86.6,3.84,64.91,35.8
,120,737349,950,0.588,26.3,303.88,65.4,14.87,19.32,2.95,2.06,235,3.6,39.058,-76.871,8.23,86.6,3.88,64.9,35.79
,121,737350,949.4,0.593,26.2,303.83,65.6,14.83,19.28,2.94,2.08,234.7,3.6,39.058,-76.871,8.22,86.6,3.92,64.86,35.78
,122,737351,948.9,0.599,26.2,303.87,65.7,14.86,19.3,2.93,2.1,234.4,3.6,39.058,-76.871,8.22,86.6,3.96,64.84,35.77
,123,737352,948.3,0.604,26.1,303.83,65.8,14.81,19.23,2.92,2.11,234.2,3.6,39.058,-76.871,8.22,86.7,4,64.87,35.77
,124,737353,947.7,0.61,26.1,303.88,65.9,14.84,19.26,2.91,2.12,234,3.6,39.058,-76.871,8.23,86.8,4.04,64.9,35.76
,125,737354,947.1,0.616,26,303.84,66.2,14.83,19.23,2.91,2.12,234,3.6,39.058,-76.871,8.23,86.9,4.09,64.9,35.75
,126,737355,946.4,0.622,26,303.9,66.5,14.91,19.31,2.91,2.12,234,3.6,39.058,-76.871,8.23,87,4.13,64.9,35.75
,127,737356,945.7,0.628,25.9,303.86,66.8,14.9,19.28,2.92,2.11,234.1,3.6,39.058,-76.871,8.23,87,4.18,64.9,35.74
,128,737357,945,0.635,25.8,303.83,67.1,14.89,19.26,2.92,2.1,234.3,3.6,39.058,-76.871,8.23,87.1,4.23,64.91,35.73
,129,737358,944.5,0.64,25.7,303.77,67.3,14.85,19.21,3.01,2.15,234.5,3.7,39.058,-76.871,8.24,87.2,4.27,64.99,35.73
,130,737359,943.9,0.645,25.7,303.83,67.4,14.88,19.23,3.02,2.14,234.7,3.7,39.059,-76.871,8.25,87.4,4.3,65.06,35.72
,131,737360,943.4,0.649,25.7,303.87,67.5,14.91,19.26,3.03,2.12,235.1,3.7,39.059,-76.871,8.26,87.6,4.34,65.17,35.72
,132,737361,942.9,0.654,25.6,303.82,67.7,14.88,19.21,3.13,2.16,235.4,3.8,39.059,-76.871,8.27,87.7,4.37,65.25,35.72
,133,737362,942.5,0.658,25.6,303.85,67.8,14.9,19.23,3.15,2.13,235.9,3.8,39.059,-76.871,8.27,87.7,4.4,65.27,35.71
,134,737363,942,0.662,25.6,303.9,67.9,14.93,19.26,3.25,2.16,236.4,3.9,39.059,-76.871,8.27,87.8,4.43,65.27,35.71
,135,737364,941.5,0.667,25.5,303.84,68.1,14.9,19.21,3.27,2.12,237,3.9,39.059,-76.871,8.27,87.8,4.47,65.27,35.71
,136,737365,941,0.672,25.5,303.89,68.2,14.93,19.23,3.3,2.08,237.7,3.9,39.059,-76.871,8.27,87.9,4.5,65.25,35.71
,137,737366,940.4,0.678,25.4,303.84,68.2,14.85,19.14,3.41,2.1,238.4,4,39.059,-76.871,8.27,87.9,4.54,65.21,35.7
,138,737367,939.9,0.683,25.4,303.89,68.2,14.86,19.14,3.43,2.05,239.1,4,39.059,-76.871,8.24,87.7,4.58,65.04,35.7
,139,737368,939.4,0.688,25.4,303.94,68,14.82,19.09,3.46,2.01,239.9,4,39.059,-76.871,8.21,87.4,4.62,64.8,35.7
,140,737369,938.9,0.692,25.3,303.88,67.8,14.69,18.95,3.49,1.95,240.8,4,39.059,-76.871,8.2,87.3,4.65,64.67,35.7
,141,737370,938.4,0.696,25.3,303.93,67.8,14.7,18.95,3.61,1.94,241.7,4.1,39.059,-76.871,8.19,87.3,4.68,64.64,35.7
,142,737371,937.9,0.701,25.2,303.87,68.1,14.69,18.92,3.64,1.89,242.6,4.1,39.059,-76.871,8.19,87.3,4.71,64.64,35.7
,143,737372,937.5,0.705,25.2,303.91,68.5,14.78,19.02,3.67,1.83,243.5,4.1,39.059,-76.871,8.19,87.4,4.75,64.64,35.69
,144,737373,937,0.71,25.1,303.85,69,14.81,19.04,3.7,1.77,244.5,4.1,39.059,-76.871,8.19,87.4,4.78,64.64,35.69
,145,737374,936.5,0.715,25.1,303.9,69.5,14.93,19.15,3.73,1.71,245.4,4.1,39.059,-76.871,8.19,87.5,4.82,64.65,35.68
,146,737375,935.9,0.72,25,303.85,69.9,14.93,19.15,3.67,1.6,246.4,4,39.059,-76.871,8.2,87.6,4.86,64.66,35.66
,147,737376,935.4,0.725,25,303.9,70.1,14.98,19.19,3.69,1.54,247.3,4,39.059,-76.871,8.19,87.6,4.89,64.66,35.65
,148,737377,934.8,0.73,24.9,303.85,70.1,14.9,19.1,3.72,1.48,248.3,4,39.059,-76.871,8.19,87.6,4.93,64.65,35.63
,149,737378,934.3,0.735,24.9,303.9,69.9,14.87,19.05,3.64,1.39,249.1,3.9,39.059,-76.871,8.2,87.8,4.97,64.68,35.61
,150,737379,933.8,0.74,24.8,303.84,69.7,14.74,18.91,3.66,1.33,250,3.9,39.059,-76.87,8.2,87.8,5,64.7,35.59
,151,737380,933.2,0.745,24.8,303.9,69.7,14.75,18.91,3.59,1.25,250.8,3.8,39.059,-76.87,8.2,87.9,5.04,64.7,35.58
,152,737381,932.7,0.75,24.7,303.84,69.9,14.71,18.86,3.6,1.21,251.5,3.8,39.059,-76.87,8.2,87.9,5.08,64.66,35.56
,153,737382,932.2,0.755,24.7,303.89,70.3,14.81,18.95,3.52,1.14,252,3.7,39.059,-76.87,8.17,87.6,5.12,64.47,35.54
,154,737383,931.6,0.76,24.6,303.85,70.7,14.81,18.95,3.53,1.11,252.5,3.7,39.059,-76.87,8.15,87.5,5.15,64.31,35.52
,155,737384,931.1,0.765,24.5,303.79,71,14.79,18.92,3.44,1.06,252.8,3.6,39.059,-76.87,8.15,87.5,5.19,64.28,35.5
,156,737385,930.6,0.77,24.5,303.84,71.2,14.85,18.96,3.35,1.03,252.9,3.5,39.059,-76.87,8.15,87.6,5.22,64.28,35.48
,157,737386,930.1,0.774,24.5,303.88,71.1,14.83,18.94,3.34,1.03,252.8,3.5,39.059,-76.87,8.14,87.5,5.25,64.23,35.48
,158,737387,929.7,0.778,24.5,303.92,70.7,14.75,18.85,3.24,1.02,252.6,3.4,39.059,-76.87,8.14,87.6,5.28,64.2,35.46
,159,737388,929.4,0.782,24.4,303.85,70.3,14.59,18.67,3.14,1.01,252.2,3.3,39.059,-76.87,8.14,87.6,5.31,64.19,35.43
,160,737389,929,0.785,24.4,303.88,70.2,14.57,18.64,3.13,1.04,251.6,3.3,39.059,-76.87,8.14,87.6,5.33,64.19,35.41
,161,737390,928.6,0.788,24.3,303.82,70.6,14.57,18.64,3.02,1.05,250.9,3.2,39.059,-76.87,8.13,87.6,5.36,64.18,35.4
