Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737229,1011,0.052,31,303.2,50.6,14.19,19.6,0.15,-0.37,338,0.4,39.056,-76.876,5.31,52.5,0,41.87,31.89
"Sakai, Ricardo K.",2,737230,1010.6,0.055,30.3,302.54,47.1,12.67,17.81,1.12,1.54,216.1,1.9,39.056,-76.876,5.33,52.7,0.01,42.08,31.9
Howard University - Beltsville,3,737231,1010.1,0.06,29.4,301.68,44.4,11.34,16.07,1.45,2.16,213.8,2.6,39.056,-76.876,5.34,52.9,0.04,42.16,31.91
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737232,1009.6,0.065,29.4,301.72,43.6,11.13,15.79,1.58,2.43,213,2.9,39.056,-76.876,5.35,53,0.06,42.2,31.91
OWLETS-II,5,737233,1009.1,0.069,29.3,301.67,43.9,11.15,15.8,1.62,2.53,212.6,3,39.056,-76.876,5.35,53,0.08,42.2,31.92
"1,1",6,737234,1008.6,0.073,29.3,301.71,44.3,11.26,15.94,1.65,2.63,212.1,3.1,39.057,-76.876,5.35,53,0.1,42.23,31.92
"2018, 06, 17, 2018, 08, 07",7,737235,1008.3,0.076,29.3,301.74,44.6,11.34,16.05,1.62,2.64,211.6,3.1,39.057,-76.876,5.36,53.2,0.11,42.26,31.93
1,8,737236,1007.9,0.08,29.3,301.77,44.8,11.4,16.12,1.64,2.75,210.9,3.2,39.057,-76.876,5.38,53.4,0.13,42.48,31.93
"Index_number, number",9,737237,1007.5,0.083,29.3,301.8,45.1,11.48,16.22,1.65,2.85,210.1,3.3,39.057,-76.876,5.41,53.7,0.15,42.65,31.93
19,10,737238,1007,0.087,29.2,301.75,45.3,11.47,16.2,1.61,2.88,209.2,3.3,39.057,-76.875,5.41,53.7,0.16,42.7,31.94
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737239,1006.6,0.091,29.2,301.78,45.7,11.58,16.34,1.61,3,208.2,3.4,39.057,-76.875,5.44,54,0.18,42.94,31.95
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,737240,1006.1,0.095,29.1,301.72,46,11.59,16.35,1.55,3.02,207.2,3.4,39.057,-76.875,5.5,54.7,0.21,43.36,31.95
"Seconds_UTC, s",13,737241,1005.6,0.1,29.1,301.77,46.3,11.67,16.45,1.49,3.06,206,3.4,39.057,-76.875,5.53,55,0.23,43.64,31.96
"Pressure_hPa, hPa",14,737242,1005,0.105,29,301.72,46.7,11.71,16.5,1.43,3.09,204.8,3.4,39.057,-76.875,5.57,55.4,0.25,43.97,31.96
"Altitude_km, km",15,737243,1004.4,0.11,29,301.77,47.3,11.87,16.7,1.35,3.12,203.4,3.4,39.057,-76.875,5.6,55.8,0.28,44.16,31.97
"Temp_degC, degC",16,737244,1003.7,0.116,29,301.83,48,12.06,16.93,1.26,3.16,201.8,3.4,39.057,-76.875,5.6,55.8,0.31,44.16,31.98
"Theta_K, K",17,737245,1003,0.122,28.9,301.79,48.7,12.17,17.06,1.14,3.1,200.2,3.3,39.057,-76.875,5.6,55.8,0.34,44.16,31.98
"RH_percent, percent",18,737246,1002.4,0.128,28.9,301.84,49.3,12.33,17.26,1.04,3.13,198.3,3.3,39.057,-76.875,5.6,55.9,0.37,44.16,31.98
