Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,65310,1010.73,0.056,29.73,29.87,301.963,37.27,13.609,48.11,1.828,6.9891,0.0691,44.6,16.9,83,39.25442,-76.7093,0.055,1.76,312.69
"Stauffer, Ryan M.",2,65311,1010.66,0.0566,29.7916,29.9316,302.0306,37.2798,13.6673,48.1017,1.8308,7.00002,0.0693,44.6,16.9,83,39.25441,-76.7093,0.054,1.957,293.0737
"USRA, NASA/GSFC",3,65312,1010.62,0.057,29.8692,30.0092,302.1112,37.2701,13.7323,48.1891,1.8221,6.96624,0.0689,44.6,16.9,83,39.25441,-76.7093,0.055,2.3065,282.2581
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,65313,1010.55,0.0576,30.1765,30.3165,302.4234,36.8295,13.8207,48.1191,1.8462,7.05953,0.0698,44.6,16.9,82.98979,39.25439,-76.7093,0.0601,1.9657,269.9064
OWLETS-2,5,65314,1010.68,0.0565,29.8202,29.9602,302.0572,36.7884,13.489,48.0315,1.8669,7.13934,0.0706,44.6,16.9,82,39.25437,-76.7093,0.0662,1.5407,261.097
"1,1",6,65315,1010.33,0.0595,29.16,29.3,301.429,37.07,13.023,48.08,1.862,7.1205,0.0705,44.6,16.9,82,39.25435,-76.7093,0.073,1.23,270
"2018, 06, 17, 2019, 02, 28",7,65316,1009.93,0.0631,28.9976,29.1376,301.3005,37.8147,13.1836,48.1292,1.8423,7.04426,0.0698,44.6,16.9,82,39.25436,-76.7093,0.0761,1.67,291.18
1,8,65317,1009.39,0.0678,28.8711,29.0111,301.2206,39.506,13.7431,48.0892,1.8084,6.9133,0.0685,44.6,16.9,82,39.25438,-76.7092,0.0812,1.6793,290.3583
"Index_number, number",9,65318,1008.96,0.0716,28.6494,28.7894,301.0367,40.1535,13.7948,48.0702,1.8429,7.04685,0.0698,44.6,16.9,82,39.25441,-76.7092,0.085,1.91,270
20,10,65319,1008.51,0.0755,28.5792,28.7192,301.0035,40.5356,13.8774,48.0906,1.8361,7.02022,0.0696,44.6,16.9,82,39.25444,-76.7092,0.0891,1.8965,269.4964
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,65320,1007.99,0.0801,28.55,28.69,301.019,40.7298,13.925,48.11,1.838,7.02779,0.0697,44.6,16.9,82,39.25444,-76.7092,0.094,1.4305,252.1274
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,65321,1007.43,0.0851,28.4504,28.5904,300.9682,41.0882,13.9711,48.0698,1.844,7.05115,0.07,44.6,16.9,82,39.25443,-76.7092,0.0991,1.4284,251.9086
